card_id,name,jp_name,expansion,jp_expansion,collection_no,jp_collection_no,card_type,stage,rule_text,category,hp,energy_type,weakness_type,resistance_type,retreat_cost,is_ex,is_mega_ex,is_tera,is_ace_spec,evolves_from,evolution_stage_number,num_attacks,num_abilities,has_ability,attack_ids
14,Spiky Energy,スパイクエネルギー,JTG,MC,159,737/742,SPECIAL_ENERGY,,n/a,n/a,,COLORLESS,,,0,False,False,False,False,,,0,1,True,
15,Team Rocket's Energy,ロケット団エネルギー,DRI,MC,182,742/742,SPECIAL_ENERGY,,n/a,n/a,,COLORLESS,,,0,False,False,False,False,,,0,1,True,
16,Prism Energy,プリズムエネルギー,BLK,MC,86,739/742,SPECIAL_ENERGY,,n/a,n/a,,COLORLESS,,,0,False,False,False,False,,,0,1,True,
17,Ignition Energy,イグニッションエネルギー,WHT,MC,86,736/742,SPECIAL_ENERGY,,n/a,n/a,,COLORLESS,,,0,False,False,False,False,,,0,1,True,
18,Grow Grass Energy,グロウ【草】エネルギー,POR,M3,86,078/080,SPECIAL_ENERGY,,n/a,n/a,,GRASS,,,0,False,False,False,False,,,0,1,True,
19,Telepath Psychic Energy,テレパス【超】エネルギー,POR,M3,87,079/080,SPECIAL_ENERGY,,n/a,n/a,,PSYCHIC,,,0,False,False,False,False,,,0,1,True,
20,Rock Fighting Energy,ロック【闘】エネルギー,POR,M3,88,080/080,SPECIAL_ENERGY,,n/a,n/a,,FIGHTING,,,0,False,False,False,False,,,0,1,True,
21,Scrafty,ズルズキン,PROMO,PROMO,188,158/SV-P,POKEMON,Stage1,n/a,n/a,120,DARKNESS,GRASS,,1,False,False,False,False,Scraggy,2,2,0,False,1;2
22,Hippopotas,ヒポポタス,DRI,PROMO,105,186/SV-P,POKEMON,Basic,n/a,n/a,90,FIGHTING,GRASS,,3,False,False,False,False,,1,1,0,False,3
23,Hippowdon,カバルドン,DRI,PROMO,106,187/SV-P,POKEMON,Stage1,n/a,n/a,160,FIGHTING,GRASS,,4,False,False,False,False,Hippopotas,2,2,0,False,4;5
24,Team Rocket's Kangaskhan ex,ロケット団のガルーラex,ASC,PROMO,162,265/SV-P,POKEMON,Basic,Pokémon ex,Trainer's Pokémon(Team Rocket),230,COLORLESS,FIGHTING,,2,True,False,False,False,,1,2,0,False,6;7
25,Pinsir,カイロス,TWM,SV5a,3,003/066,POKEMON,Basic,n/a,n/a,110,GRASS,FIRE,,2,False,False,False,False,,1,2,0,False,8;9
26,Leafeon,リーフィア,TWM,MC,11,037/742,POKEMON,Stage1,n/a,n/a,120,GRASS,FIRE,,1,False,False,False,False,Eevee,2,2,0,False,10;11
27,Iron Leaves,テツノイサハ,TWM,SV5a,19,007/066,POKEMON,Basic,n/a,Future,120,GRASS,FIRE,,1,False,False,False,False,,1,2,0,False,12;13
28,Poltchageist,チャデス,TWM,SV8a,20,017/187,POKEMON,Basic,n/a,n/a,30,GRASS,FIRE,,1,False,False,False,False,,1,1,1,True,14
29,Sinistcha ex,ヤバソチャex,TWM,MC,23,079/742,POKEMON,Stage1,Pokémon ex,n/a,240,GRASS,FIRE,,1,True,False,False,False,Poltchageist,2,2,0,False,15;16
30,Magcargo ex,マグカルゴex,TWM,MC,29,096/742,POKEMON,Stage1,Pokémon ex,Tera(Fire),270,FIRE,WATER,,3,True,False,True,False,Slugma,2,2,0,False,17;18
31,Chi-Yu,イーユイ,TWM,SV5a,39,018/066,POKEMON,Basic,n/a,n/a,110,FIRE,WATER,,1,False,False,False,False,,1,2,0,False,19;20
32,Glaceon,グレイシア,TWM,SV8a,54,040/187,POKEMON,Stage1,n/a,n/a,120,WATER,METAL,,1,False,False,False,False,Eevee,2,2,0,False,21;22
33,Froakie,ケロマツ,TWM,SV5a,56,023/066,POKEMON,Basic,n/a,n/a,60,WATER,LIGHTNING,,1,False,False,False,False,,1,2,0,False,23;24
34,Frogadier,ゲコガシラ,TWM,SV5a,57,024/066,POKEMON,Stage1,n/a,n/a,90,WATER,LIGHTNING,,1,False,False,False,False,Froakie,2,1,0,False,25
35,Walking Wake,ウネルミナモ,TWM,MC,63,221/742,POKEMON,Basic,n/a,Ancient,130,WATER,LIGHTNING,,1,False,False,False,False,,1,2,0,False,26;27
36,Morpeko,モルペコ,TWM,MC,72,270/742,POKEMON,Basic,n/a,n/a,70,LIGHTNING,FIGHTING,,1,False,False,False,False,,1,1,1,True,28
37,Iron Thorns ex,テツノイバラex,TWM,MC,77,282/742,POKEMON,Basic,Pokémon ex,Future,230,LIGHTNING,FIGHTING,,4,True,False,False,False,,1,1,1,True,29
38,Girafarig,キリンリキ,TWM,MC,83,301/742,POKEMON,Basic,n/a,n/a,100,PSYCHIC,DARKNESS,FIGHTING,1,False,False,False,False,,1,1,0,False,30
39,Enamorus,ラブトロス,TWM,MC,93,346/742,POKEMON,Basic,n/a,n/a,120,PSYCHIC,METAL,,1,False,False,False,False,,1,2,0,False,31;32
40,Greninja ex,ゲッコウガex,TWM,SV5a,106,045/066,POKEMON,Stage2,Pokémon ex,Tera(Fighting),310,FIGHTING,PSYCHIC,,1,True,False,True,False,Frogadier,3,2,0,False,33;34
41,Ting-Lu,ディンルー,TWM,SV5a,110,047/066,POKEMON,Basic,n/a,n/a,140,FIGHTING,GRASS,,3,False,False,False,False,,1,2,0,False,35;36
42,Applin,カジッチュ,TWM,SV5a,126,048/066,POKEMON,Basic,n/a,n/a,40,DRAGON,,,1,False,False,False,False,,1,2,0,False,37;38
43,Eevee,イーブイ,TWM,SV5a,135,050/066,POKEMON,Basic,n/a,n/a,50,COLORLESS,FIGHTING,,1,False,False,False,False,,1,2,0,False,39;40
44,Bloodmoon Ursaluna ex,ガチグマ アカツキex,TWM,MC,141,625/742,POKEMON,Basic,Pokémon ex,n/a,260,COLORLESS,FIGHTING,,3,True,False,False,False,,1,1,1,True,41
45,Shaymin,シェイミ,TEF,MC,13,039/742,POKEMON,Basic,n/a,n/a,70,GRASS,FIRE,,0,False,False,False,False,,1,2,0,False,42;43
46,Gouging Fire ex,ウガツホムラex,TEF,MC,38,151/742,POKEMON,Basic,Pokémon ex,Ancient,230,FIRE,WATER,,2,True,False,False,False,,1,2,0,False,44;45
47,Totodile,ワニノコ,TEF,MC,39,164/742,POKEMON,Basic,n/a,n/a,70,WATER,LIGHTNING,,1,False,False,False,False,,1,1,0,False,46
48,Croconaw,アリゲイツ,TEF,MC,40,166/742,POKEMON,Stage1,n/a,n/a,90,WATER,LIGHTNING,,2,False,False,False,False,Totodile,2,1,0,False,47
49,Feraligatr,オーダイル,TEF,MC,41,168/742,POKEMON,Stage2,n/a,n/a,180,WATER,LIGHTNING,,3,False,False,False,False,Croconaw,3,1,1,True,48
50,Wiglett,ウミディグダ,TEF,SV8a,47,042/187,POKEMON,Basic,n/a,n/a,60,WATER,LIGHTNING,,1,False,False,False,False,,1,2,0,False,49;50
51,Palafin,イルカマン,TEF,SV5K,49,023/071,POKEMON,Stage1,n/a,n/a,150,WATER,LIGHTNING,,2,False,False,False,False,Finizen,2,2,0,False,51;52
52,Wugtrio ex,ウミトリオex,TEF,SV5K,60,025/071,POKEMON,Stage1,Pokémon ex,Tera(Lightning),250,LIGHTNING,FIGHTING,,1,True,False,True,False,Wiglett,2,2,0,False,53;54
53,Marill,マリル,TEF,SV5K,64,026/071,POKEMON,Basic,n/a,n/a,70,PSYCHIC,METAL,,2,False,False,False,False,,1,2,0,False,55;56
54,Bronzor,ドーミラー,TEF,SV5K,68,028/071,POKEMON,Basic,n/a,n/a,80,PSYCHIC,DARKNESS,FIGHTING,3,False,False,False,False,,1,1,0,False,57
55,Bronzong,ドータクン,TEF,SV5K,69,029/071,POKEMON,Stage1,n/a,n/a,110,PSYCHIC,DARKNESS,FIGHTING,3,False,False,False,False,Bronzor,2,2,0,False,58;59
56,Flutter Mane,ハバタクカミ,TEF,MC,78,355/742,POKEMON,Basic,n/a,Ancient,90,PSYCHIC,METAL,,1,False,False,False,False,,1,1,1,True,60
57,Relicanth,ジーランス,TEF,SV8a,84,079/187,POKEMON,Basic,n/a,n/a,100,FIGHTING,GRASS,,1,False,False,False,False,,1,1,1,True,61
58,Great Tusk,イダイナキバ,TEF,SV8a,97,086/187,POKEMON,Basic,n/a,Ancient,140,FIGHTING,PSYCHIC,,3,False,False,False,False,,1,2,0,False,62;63
59,Gastly,ゴース,TEF,MC,102,441/742,POKEMON,Basic,n/a,n/a,60,DARKNESS,FIGHTING,,1,False,False,False,False,,1,2,0,False,64;65
60,Haunter,ゴースト,TEF,MC,103,443/742,POKEMON,Stage1,n/a,n/a,90,DARKNESS,FIGHTING,,1,False,False,False,False,Gastly,2,1,0,False,66
61,Roaring Moon,トドロクツキ,TEF,SV8a,109,100/187,POKEMON,Basic,n/a,Ancient,140,DARKNESS,GRASS,,2,False,False,False,False,,1,2,0,False,67;68
62,Koraidon,コライドン,TEF,MC,119,550/742,POKEMON,Basic,n/a,Ancient,140,DRAGON,,,2,False,False,False,False,,1,2,0,False,69;70
63,Raging Bolt ex,タケルライコex,TEF,MC,123,554/742,POKEMON,Basic,Pokémon ex,Ancient,240,DRAGON,,,3,True,False,False,False,,1,2,0,False,71;72
64,Hoothoot,ホーホー,TEF,SV5K,126,054/071,POKEMON,Basic,n/a,n/a,70,COLORLESS,LIGHTNING,FIGHTING,1,False,False,False,False,,1,1,0,False,73
65,Dunsparce,ノコッチ,TEF,SV8a,128,129/187,POKEMON,Basic,n/a,n/a,60,COLORLESS,FIGHTING,,0,False,False,False,False,,1,2,0,False,74;75
66,Dudunsparce,ノココッチ,TEF,SV8a,129,130/187,POKEMON,Stage1,n/a,n/a,140,COLORLESS,FIGHTING,,3,False,False,False,False,Dunsparce,2,1,1,True,76
67,Pineco,クヌギダマ,TEF,SV5M,2,002/071,POKEMON,Basic,n/a,n/a,70,GRASS,FIRE,,2,False,False,False,False,,1,1,0,False,77
68,Seedot,タネボー,TEF,SV5M,3,003/071,POKEMON,Basic,n/a,n/a,60,GRASS,FIRE,,1,False,False,False,False,,1,2,0,False,78;79
69,Nuzleaf,コノハナ,TEF,SV5M,4,004/071,POKEMON,Stage1,n/a,n/a,90,GRASS,FIRE,,1,False,False,False,False,Seedot,2,2,0,False,80;81
70,Shiftry,ダーテング,TEF,SV5M,5,005/071,POKEMON,Stage2,n/a,n/a,150,GRASS,FIRE,,2,False,False,False,False,Nuzleaf,3,2,0,False,82;83
71,Deerling,シキジカ,TEF,SV5M,16,008/071,POKEMON,Basic,n/a,n/a,70,GRASS,FIRE,,1,False,False,False,False,,1,2,0,False,84;85
72,Sawsbuck,メブキジカ,TEF,SV5M,17,009/071,POKEMON,Stage1,n/a,n/a,130,GRASS,FIRE,,2,False,False,False,False,Deerling,2,1,1,True,86
73,Rellor,シガロコ,TEF,SV8a,23,013/187,POKEMON,Basic,n/a,n/a,50,GRASS,FIRE,,1,False,False,False,False,,1,1,0,False,87
74,Rabsca,ベラカス,TEF,SV8a,24,014/187,POKEMON,Stage1,n/a,n/a,70,GRASS,FIRE,,1,False,False,False,False,Rellor,2,1,1,True,88
75,Iron Leaves ex,テツノイサハex,TEF,MC,25,077/742,POKEMON,Basic,Pokémon ex,Future,220,GRASS,FIRE,,1,True,False,False,False,,1,1,1,True,89
76,Slugma,マグマッグ,TEF,SV5M,28,017/071,POKEMON,Basic,n/a,n/a,80,FIRE,WATER,,2,False,False,False,False,,1,1,0,False,90
77,Litten,ニャビー,TEF,MC,32,130/742,POKEMON,Basic,n/a,n/a,70,FIRE,WATER,,2,False,False,False,False,,1,1,0,False,91
78,Torracat,ニャヒート,TEF,MC,33,131/742,POKEMON,Stage1,n/a,n/a,100,FIRE,WATER,,2,False,False,False,False,Litten,2,2,0,False,92;93
79,Incineroar ex,ガオガエンex,TEF,MC,34,132/742,POKEMON,Stage2,Pokémon ex,n/a,320,FIRE,WATER,,2,True,False,False,False,Torracat,3,1,1,True,94
80,Iron Crown ex,テツノカシラex,TEF,MC,81,361/742,POKEMON,Basic,Pokémon ex,Future,220,PSYCHIC,DARKNESS,FIGHTING,2,True,False,False,False,,1,1,1,True,95
81,Drilbur,モグリュー,TEF,SV8a,85,083/187,POKEMON,Basic,n/a,n/a,70,FIGHTING,GRASS,,1,False,False,False,False,,1,1,1,True,96
82,Excadrill,ドリュウズ,TEF,SV5M,86,040/071,POKEMON,Stage1,n/a,n/a,130,FIGHTING,GRASS,,2,False,False,False,False,Drilbur,2,2,0,False,97;98
83,Farigiraf ex,リキキリンex,TEF,MC,108,486/742,POKEMON,Stage1,Pokémon ex,Tera(Darkness),260,DARKNESS,GRASS,,2,True,False,True,False,Girafarig,2,1,1,True,99
84,Scizor ex,ハッサムex,TEF,MC,111,492/742,POKEMON,Stage1,Pokémon ex,n/a,270,METAL,FIRE,GRASS,2,True,False,False,False,Scyther,2,2,0,False,100;101
85,Beldum,ダンバル,TEF,MC,113,496/742,POKEMON,Basic,n/a,n/a,70,METAL,FIRE,GRASS,1,False,False,False,False,,1,2,0,False,102;103
86,Metang,メタング,TEF,MC,114,497/742,POKEMON,Stage1,n/a,n/a,100,METAL,FIRE,GRASS,2,False,False,False,False,Beldum,2,1,1,True,104
87,Miraidon,ミライドン,TEF,MC,121,552/742,POKEMON,Basic,n/a,Future,110,DRAGON,,,2,False,False,False,False,,1,2,0,False,105;106
88,Volbeat,バルビート,TWM,SV6,9,004/101,POKEMON,Basic,n/a,n/a,70,GRASS,FIRE,,1,False,False,False,False,,1,2,0,False,107;108
89,Grookey,サルノリ,TWM,SV8a,14,006/187,POKEMON,Basic,n/a,n/a,70,GRASS,FIRE,,1,False,False,False,False,,1,2,0,False,109;110
90,Thwackey,バチンキー,TWM,SV8a,15,007/187,POKEMON,Stage1,n/a,n/a,100,GRASS,FIRE,,2,False,False,False,False,Grookey,2,1,1,True,111
91,Rillaboom,ゴリランダー,TWM,SV6,16,010/101,POKEMON,Stage2,n/a,n/a,180,GRASS,FIRE,,4,False,False,False,False,Thwackey,3,2,0,False,112;113
92,Applin,カジッチュ,TWM,SV6,17,011/101,POKEMON,Basic,n/a,n/a,40,GRASS,FIRE,,1,False,False,False,False,,1,1,0,False,114
93,Dipplin,カミッチュ,TWM,SV8a,18,009/187,POKEMON,Stage1,n/a,n/a,80,GRASS,FIRE,,2,False,False,False,False,Applin,2,1,1,True,115
94,Sinistcha,ヤバソチャ,TWM,SV8a,22,018/187,POKEMON,Stage1,n/a,n/a,70,GRASS,FIRE,,1,False,False,False,False,Poltchageist,2,2,0,False,116;117
95,Teal Mask Ogerpon,オーガポン みどりのめん,TWM,MC,24,080/742,POKEMON,Basic,n/a,n/a,110,GRASS,FIRE,,1,False,False,False,False,,1,2,0,False,118;119
96,Teal Mask Ogerpon ex,オーガポン みどりのめんex,TWM,MC,25,082/742,POKEMON,Basic,Pokémon ex,Tera(Grass),210,GRASS,FIRE,,1,True,False,True,False,,1,1,1,True,120
97,Litwick,ヒトモシ,TWM,SV6,36,019/101,POKEMON,Basic,n/a,n/a,60,FIRE,WATER,,1,False,False,False,False,,1,2,0,False,121;122
98,Chandelure,シャンデラ,TWM,SV6,38,021/101,POKEMON,Stage2,n/a,n/a,130,FIRE,WATER,,2,False,False,False,False,Lampent,3,1,1,True,123
99,Hearthflame Mask Ogerpon ex,オーガポン かまどのめんex,TWM,MC,40,149/742,POKEMON,Basic,Pokémon ex,Tera(Fire),210,FIRE,WATER,,1,True,False,True,False,,1,2,0,False,124;125
100,Goldeen,トサキント,TWM,SV8a,44,028/187,POKEMON,Basic,n/a,n/a,50,WATER,LIGHTNING,,1,False,False,False,False,,1,1,1,True,126
101,Jynx,ルージュラ,TWM,SV6,46,028/101,POKEMON,Basic,n/a,n/a,90,WATER,METAL,,1,False,False,False,False,,1,2,0,False,127;128
102,Milotic,ミロカロス,TWM,SV8a,50,036/187,POKEMON,Stage1,n/a,n/a,120,WATER,LIGHTNING,,1,False,False,False,False,Feebas,2,1,1,True,129
103,Snorunt,ユキワラシ,TWM,MC,51,186/742,POKEMON,Basic,n/a,n/a,60,WATER,METAL,,1,False,False,False,False,,1,1,0,False,130
104,Froslass,ユキメノコ,TWM,SV8a,53,038/187,POKEMON,Stage1,n/a,n/a,90,WATER,METAL,,1,False,False,False,False,Snorunt,2,1,1,True,131
105,Finizen,ナミイルカ,TWM,MC,59,214/742,POKEMON,Basic,n/a,n/a,70,WATER,LIGHTNING,,1,False,False,False,False,,1,1,0,False,132
106,Palafin,イルカマン,TWM,MC,60,215/742,POKEMON,Stage1,n/a,n/a,100,WATER,LIGHTNING,,1,False,False,False,False,Finizen,2,1,1,True,133
107,Palafin ex,イルカマンex,TWM,MC,61,216/742,POKEMON,Stage1,Pokémon ex,n/a,340,WATER,LIGHTNING,,2,True,False,False,False,Finizen,2,1,1,True,134
108,Wellspring Mask Ogerpon ex,オーガポン いどのめんex,TWM,MC,64,224/742,POKEMON,Basic,Pokémon ex,Tera(Water),210,WATER,LIGHTNING,,1,True,False,True,False,,1,2,0,False,135;136
109,Abra,ケーシィ,TWM,SV8a,80,057/187,POKEMON,Basic,n/a,n/a,40,PSYCHIC,DARKNESS,FIGHTING,1,False,False,False,False,,1,1,1,True,137
110,Slurpuff,ペロリーム,TWM,SV6,90,052/101,POKEMON,Stage1,n/a,n/a,120,PSYCHIC,METAL,,2,False,False,False,False,Swirlix,2,1,0,False,138
111,Sandygast,スナバァ,TWM,SV6,91,053/101,POKEMON,Basic,n/a,n/a,90,PSYCHIC,DARKNESS,FIGHTING,3,False,False,False,False,,1,2,0,False,139;140
112,Munkidori,マシマシラ,TWM,MC,95,358/742,POKEMON,Basic,n/a,n/a,110,PSYCHIC,DARKNESS,FIGHTING,1,False,False,False,False,,1,1,1,True,141
113,Timburr,ドッコラー,TWM,SV6,103,059/101,POKEMON,Basic,n/a,n/a,80,FIGHTING,PSYCHIC,,2,False,False,False,False,,1,1,0,False,142
114,Gurdurr,ドテッコツ,TWM,SV6,104,060/101,POKEMON,Stage1,n/a,n/a,100,FIGHTING,PSYCHIC,,2,False,False,False,False,Timburr,2,2,0,False,143;144
115,Conkeldurr,ローブシン,TWM,SV6,105,061/101,POKEMON,Stage2,n/a,n/a,180,FIGHTING,PSYCHIC,,3,False,False,False,False,Gurdurr,3,2,0,False,145;146
116,Okidogi,イイネイヌ,TWM,MC,111,426/742,POKEMON,Basic,n/a,n/a,130,FIGHTING,PSYCHIC,,2,False,False,False,False,,1,1,1,True,147
117,Cornerstone Mask Ogerpon ex,オーガポン いしずえのめんex,TWM,MC,112,428/742,POKEMON,Basic,Pokémon ex,Tera(Fighting),210,FIGHTING,GRASS,,1,True,False,True,False,,1,1,1,True,148
118,Heatran,ヒードラン,TWM,SV6,123,076/101,POKEMON,Basic,n/a,n/a,140,METAL,FIRE,GRASS,4,False,False,False,False,,1,1,1,True,149
119,Dreepy,ドラメシヤ,TWM,MC,128,546/742,POKEMON,Basic,n/a,n/a,70,DRAGON,,,1,False,False,False,False,,1,2,0,False,150;151
120,Drakloak,ドロンチ,TWM,MC,129,547/742,POKEMON,Stage1,n/a,n/a,90,DRAGON,,,1,False,False,False,False,Dreepy,2,1,1,True,152
121,Dragapult ex,ドラパルトex,TWM,MC,130,548/742,POKEMON,Stage2,Pokémon ex,Tera(Dragon),320,DRAGON,,,1,True,False,True,False,Drakloak,3,2,0,False,153;154
122,Tatsugiri,シャリタツ,TWM,MC,131,549/742,POKEMON,Basic,n/a,n/a,70,DRAGON,,,1,False,False,False,False,,1,1,1,True,155
123,Farfetch'd,カモネギ,TWM,SV6,132,083/101,POKEMON,Basic,n/a,n/a,70,COLORLESS,LIGHTNING,FIGHTING,1,False,False,False,False,,1,1,1,True,156
124,Chansey,ラッキー,TWM,MC,133,561/742,POKEMON,Basic,n/a,n/a,120,COLORLESS,FIGHTING,,2,False,False,False,False,,1,2,0,False,157;158
125,Blissey ex,ハピナスex,TWM,MC,134,562/742,POKEMON,Stage1,Pokémon ex,n/a,300,COLORLESS,FIGHTING,,4,True,False,False,False,Chansey,2,1,1,True,159
126,Galvantula,デンチュラ,SFA,MC,2,050/742,POKEMON,Stage1,n/a,n/a,100,GRASS,FIRE,,1,False,False,False,False,Joltik,2,1,1,True,160
127,Rowlet,モクロー,SFA,SV6a,3,003/064,POKEMON,Basic,n/a,n/a,70,GRASS,FIRE,,1,False,False,False,False,,1,2,0,False,161;162
128,Dartrix,フクスロー,SFA,SV6a,4,004/064,POKEMON,Stage1,n/a,n/a,90,GRASS,FIRE,,1,False,False,False,False,Rowlet,2,2,0,False,163;164
129,Decidueye,ジュナイパー,SFA,SV6a,5,005/064,POKEMON,Stage2,n/a,n/a,150,GRASS,FIRE,,2,False,False,False,False,Dartrix,3,2,0,False,165;166
130,Revavroom ex,ブロロロームex,SFA,SV6a,15,015/064,POKEMON,Stage1,Pokémon ex,Tera(Lightning),280,LIGHTNING,FIGHTING,,1,True,False,True,False,Varoom,2,2,0,False,167;168
131,Duskull,ヨマワル,SFA,MC,18,308/742,POKEMON,Basic,n/a,n/a,60,PSYCHIC,DARKNESS,FIGHTING,1,False,False,False,False,,1,2,0,False,169;170
132,Dusclops,サマヨール,SFA,MC,19,309/742,POKEMON,Stage1,n/a,n/a,90,PSYCHIC,DARKNESS,FIGHTING,2,False,False,False,False,Duskull,2,1,1,True,171
133,Dusknoir,ヨノワール,SFA,MC,20,310/742,POKEMON,Stage2,n/a,n/a,160,PSYCHIC,DARKNESS,FIGHTING,3,False,False,False,False,Dusclops,3,1,1,True,172
134,Sylveon,ニンフィア,SFA,SV8a,22,068/187,POKEMON,Stage1,n/a,n/a,120,PSYCHIC,METAL,,1,False,False,False,False,Eevee,2,2,0,False,173;174
135,Bloodmoon Ursaluna,ガチグマ アカツキ,SFA,MC,25,415/742,POKEMON,Basic,n/a,n/a,150,FIGHTING,GRASS,,4,False,False,False,False,,1,1,1,True,175
136,Zorua,ゾロア,SFA,SV8a,31,096/187,POKEMON,Basic,n/a,n/a,70,DARKNESS,GRASS,,1,False,False,False,False,,1,2,0,False,176;177
137,Zoroark,ゾロアーク,SFA,SV8a,32,097/187,POKEMON,Stage1,n/a,n/a,120,DARKNESS,GRASS,,1,False,False,False,False,Zorua,2,2,0,False,178;179
138,Okidogi ex,イイネイヌex,SFA,MC,36,488/742,POKEMON,Basic,Pokémon ex,n/a,250,DARKNESS,FIGHTING,,3,True,False,False,False,,1,2,0,False,180;181
139,Munkidori ex,マシマシラex,SFA,SV8a,37,103/187,POKEMON,Basic,Pokémon ex,n/a,210,DARKNESS,FIGHTING,,1,True,False,False,False,,1,1,1,True,182
140,Fezandipiti ex,キチキギスex,SFA,MC,38,489/742,POKEMON,Basic,Pokémon ex,n/a,210,DARKNESS,FIGHTING,,1,True,False,False,False,,1,1,1,True,183
141,Pecharunt ex,モモワロウex,SFA,MC,39,491/742,POKEMON,Basic,Pokémon ex,n/a,190,DARKNESS,FIGHTING,,1,True,False,False,False,,1,1,1,True,184
142,Genesect,ゲノセクト,SFA,SV6a,40,040/064,POKEMON,Basic,n/a,n/a,110,METAL,FIRE,GRASS,1,False,False,False,False,,1,1,1,True,185
143,Varoom,ブロロン,SFA,SV8a,43,114/187,POKEMON,Basic,n/a,n/a,70,METAL,FIRE,GRASS,1,False,False,False,False,,1,2,0,False,186;187
144,Kyurem,キュレム,SFA,SV6a,47,047/064,POKEMON,Basic,n/a,n/a,130,DRAGON,,,2,False,False,False,False,,1,1,1,True,188
145,Eevee,イーブイ,SFA,PROMO,50,196/SV-P,POKEMON,Basic,n/a,n/a,70,COLORLESS,FIGHTING,,1,False,False,False,False,,1,2,0,False,189;190
146,Lileep,リリーラ,SCR,SV7,5,003/102,POKEMON,Stage1,n/a,n/a,100,GRASS,FIRE,,2,False,False,False,False,Antique Root Fossil,2,1,0,False,191
147,Cradily,ユレイドル,SCR,SV7,6,004/102,POKEMON,Stage2,n/a,n/a,150,GRASS,FIRE,,3,False,False,False,False,Lileep,3,1,1,True,192
148,Mow Rotom,カットロトム,SCR,SV7,8,006/102,POKEMON,Basic,n/a,n/a,90,GRASS,FIRE,,1,False,False,False,False,,1,1,0,False,193
149,Applin,カジッチュ,SCR,MC,12,062/742,POKEMON,Basic,n/a,n/a,40,GRASS,FIRE,,1,False,False,False,False,,1,1,0,False,194
150,Hydrapple ex,カミツオロチex,SCR,MC,14,064/742,POKEMON,Stage2,Pokémon ex,n/a,330,GRASS,FIRE,,3,True,False,False,False,Dipplin,3,1,1,True,195
151,Scorbunny,ヒバニー,SCR,MC,26,137/742,POKEMON,Basic,n/a,n/a,70,FIRE,WATER,,1,False,False,False,False,,1,1,0,False,196
152,Raboot,ラビフット,SCR,MC,27,138/742,POKEMON,Stage1,n/a,n/a,90,FIRE,WATER,,1,False,False,False,False,Scorbunny,2,2,0,False,197;198
153,Cinderace ex,エースバーンex,SCR,MC,28,139/742,POKEMON,Stage2,Pokémon ex,Tera(Stellar),320,FIRE,WATER,,0,True,False,True,False,Raboot,3,2,0,False,199;200
154,Lapras ex,ラプラスex,SCR,SV7,32,019/102,POKEMON,Basic,Pokémon ex,Tera(Stellar),220,WATER,METAL,,2,True,False,True,False,,1,2,0,False,201;202
