basic_card_id,basic_name,stage1_card_id,stage1_name,stage2_card_id,stage2_name,chain_length
421,Arrokuda,422,Barraskewda,,,2
423,Cetoddle,424,Cetitan ex,,,2
426,Team Rocket's Mareep,427,Team Rocket's Flaaffy,,,2
426,Team Rocket's Mareep,427,Team Rocket's Flaaffy,428,Team Rocket's Ampharos,3
429,Team Rocket's Drowzee,430,Team Rocket's Hypno,,,2
399,Team Rocket's Blipbug,435,Team Rocket's Dottler,,,2
399,Team Rocket's Blipbug,435,Team Rocket's Dottler,436,Team Rocket's Orbeetle,3
437,Mankey,438,Primeape,,,2
437,Mankey,438,Primeape,439,Annihilape,3
440,Team Rocket's Larvitar,441,Team Rocket's Pupitar,,,2
440,Team Rocket's Larvitar,441,Team Rocket's Pupitar,442,Team Rocket's Tyranitar,3
1046,Nosepass,444,Probopass,,,2
883,Meditite,446,Medicham,,,2
448,Team Rocket's Ekans,449,Team Rocket's Arbok,,,2
450,Team Rocket's Nidoran♀,451,Team Rocket's Nidorina,,,2
450,Team Rocket's Nidoran♀,451,Team Rocket's Nidorina,452,Team Rocket's Nidoqueen,3
453,Team Rocket's Nidoran♂,454,Team Rocket's Nidorino,,,2
453,Team Rocket's Nidoran♂,454,Team Rocket's Nidorino,455,Team Rocket's Nidoking ex,3
456,Team Rocket's Zubat,457,Team Rocket's Golbat,,,2
456,Team Rocket's Zubat,457,Team Rocket's Golbat,458,Team Rocket's Crobat ex,3
459,Team Rocket's Grimer,460,Team Rocket's Muk,,,2
461,Team Rocket's Koffing,462,Team Rocket's Weezing,,,2
393,Pineco,465,Forretress,,,2
468,Team Rocket's Rattata,469,Team Rocket's Raticate,,,2
470,Team Rocket's Meowth,471,Team Rocket's Persian ex,,,2
473,Team Rocket's Porygon,474,Team Rocket's Porygon2,,,2
473,Team Rocket's Porygon,474,Team Rocket's Porygon2,475,Team Rocket's Porygon-Z,3
476,Taillow,477,Swellow,,,2
1014,Snivy,480,Servine,,,2
1014,Snivy,1015,Servine,481,Serperior ex,3
482,Pansage,483,Simisage,,,2
484,Petilil,485,Lilligant,,,2
488,Foongus,489,Amoonguss,,,2
792,Darumaka,492,Darmanitan,,,2
493,Litwick,494,Lampent,,,2
493,Litwick,494,Lampent,495,Chandelure,3
933,Larvesta,497,Volcarona,,,2
498,Panpour,499,Simipour,,,2
500,Tympole,501,Palpitoad,,,2
500,Tympole,501,Palpitoad,502,Seismitoad,3
1136,Antique Cover Fossil,503,Tirtouga,,,2
1136,Antique Cover Fossil,503,Tirtouga,504,Carracosta,3
506,Cubchoo,507,Beartic,,,2
511,Tynamo,512,Eelektrik,,,2
511,Tynamo,512,Eelektrik,513,Eelektross,3
516,Munna,517,Musharna,,,2
518,Solosis,519,Duosion,,,2
518,Solosis,519,Duosion,520,Reuniclus,3
521,Elgyem,522,Beheeyem,,,2
523,Golett,524,Golurk,,,2
526,Drilbur,527,Excadrill ex,,,2
528,Timburr,529,Gurdurr,,,2
528,Timburr,529,Gurdurr,530,Conkeldurr,3
532,Dwebble,533,Crustle,,,2
980,Venipede,536,Whirlipede,,,2
980,Venipede,981,Whirlipede,537,Scolipede,3
830,Sandile,539,Krokorok,,,2
830,Sandile,831,Krokorok,540,Krookodile,3
983,Vullaby,542,Mandibuzz,,,2
487,Karrablast,543,Escavalier,,,2
899,Pawniard,545,Bisharp,,,2
548,Axew,549,Fraxure,,,2
548,Axew,994,Fraxure,550,Haxorus,3
551,Pidove,552,Tranquill,,,2
551,Pidove,552,Tranquill,553,Unfezant,3
555,Minccino,556,Cinccino,,,2
557,Sewaddle,558,Swadloon,,,2
557,Sewaddle,558,Swadloon,559,Leavanny,3
814,Cottonee,561,Whimsicott ex,,,2
562,Deerling,563,Sawsbuck,,,2
564,Shelmet,565,Accelgor,,,2
930,Tepig,568,Pignite,,,2
930,Tepig,931,Pignite,569,Emboar,3
570,Pansear,571,Simisear,,,2
574,Oshawott,575,Dewott,,,2
574,Oshawott,575,Dewott,576,Samurott,3
578,Ducklett,579,Swanna,,,2
580,Vanillite,581,Vanillish,,,2
580,Vanillite,581,Vanillish,582,Vanilluxe,3
584,Blitzle,585,Zebstrika,,,2
586,Joltik,587,Galvantula,,,2
589,Woobat,590,Swoobat,,,2
592,Yamask,593,Cofagrigus,,,2
594,Gothita,595,Gothorita,,,2
594,Gothita,595,Gothorita,596,Gothitelle,3
597,Frillish,598,Jellicent ex,,,2
599,Roggenrola,600,Boldore,,,2
599,Roggenrola,600,Boldore,601,Gigalith,3
1138,Antique Plume Fossil,603,Archen,,,2
1138,Antique Plume Fossil,603,Archen,604,Archeops,3
605,Mienfoo,606,Mienshao,,,2
608,Purrloin,609,Liepard,,,2
895,Scraggy,611,Scrafty,,,2
612,Trubbish,613,Garbodor,,,2
614,Zorua,615,Zoroark,,,2
616,Deino,617,Zweilous,,,2
616,Deino,617,Zweilous,618,Hydreigon ex,3
619,Ferroseed,620,Ferrothorn,,,2
621,Klink,622,Klang,,,2
621,Klink,622,Klang,623,Klinklang,3
626,Patrat,627,Watchog,,,2
628,Lillipup,629,Herdier,,,2
628,Lillipup,629,Herdier,630,Stoutland,3
632,Rufflet,633,Braviary,,,2
635,Steven's Baltoy,636,Steven's Claydol,,,2
639,Steven's Beldum,640,Steven's Metang,,,2
639,Steven's Beldum,640,Steven's Metang,641,Steven's Metagross ex,3
642,Marnie's Purrloin,643,Marnie's Liepard,,,2
644,Marnie's Scraggy,645,Marnie's Scrafty,,,2
646,Marnie's Impidimp,647,Marnie's Morgrem,,,2
646,Marnie's Impidimp,647,Marnie's Morgrem,648,Marnie's Grimmsnarl ex,3
650,Bulbasaur,651,Ivysaur,,,2
650,Bulbasaur,651,Ivysaur,652,Mega Venusaur ex,3
653,Exeggcute,654,Exeggutor,,,2
656,Seedot,657,Nuzleaf,,,2
656,Seedot,657,Nuzleaf,658,Shiftry,3
659,Vulpix,660,Ninetales,,,2
856,Numel,662,Mega Camerupt ex,,,2
664,Scorbunny,665,Raboot,,,2
664,Scorbunny,665,Raboot,666,Cinderace,3
669,Sandshrew,670,Sandslash,,,2
673,Makuhita,674,Hariyama,,,2
974,Riolu,678,Mega Lucario ex,,,2
679,Croagunk,680,Toxicroak,,,2
683,Nacli,684,Naclstack,,,2
683,Nacli,684,Naclstack,685,Garganacl,3
667,Corphish,686,Crawdaunt,,,2
690,Nickit,691,Thievul,,,2
692,Shroodle,693,Grafaiai,,,2
671,Onix,694,Steelix,,,2
697,Tinkatink,698,Tinkatuff,,,2
697,Tinkatink,698,Tinkatuff,699,Tinkaton,3
668,Gimmighoul,700,Gholdengo,,,2
701,Spearow,702,Fearow,,,2
704,Yungoos,705,Gumshoos,,,2
706,Tangela,707,Tangrowth,,,2
917,Chikorita,709,Bayleef,,,2
917,Chikorita,918,Bayleef,710,Meganium,3
712,Nincada,713,Ninjask,,,2
715,Litleo,716,Pyroar,,,2
717,Sizzlipede,718,Centiskorch,,,2
722,Snover,723,Mega Abomasnow ex,,,2
724,Clauncher,725,Clawitzer,,,2
726,Sobble,727,Drizzile,,,2
726,Sobble,727,Drizzile,728,Inteleon,3
865,Snom,730,Frosmoth,,,2
950,Magnemite,733,Magneton,,,2
950,Magnemite,733,Magneton,734,Magnezone,3
736,Electrike,737,Mega Manectric ex,,,2
955,Helioptile,740,Heliolisk,,,2
741,Abra,742,Kadabra,,,2
741,Abra,742,Kadabra,743,Alakazam,3
745,Ralts,746,Kirlia,,,2
745,Ralts,746,Kirlia,747,Mega Gardevoir ex,3
712,Nincada,748,Shedinja,,,2
749,Spoink,750,Grumpig,,,2
752,Greavard,753,Houndstone,,,2
848,Buneary,759,Lopunny,,,2
760,Stufful,761,Bewear,,,2
762,Snubbull,763,Granbull,,,2
768,Milcery,769,Alcremie,,,2
1057,Gastly,771,Haunter,,,2
1057,Gastly,1058,Haunter,772,Mega Gengar ex,3
773,Murkrow,774,Honchkrow,,,2
778,Oddish,779,Gloom,,,2
778,Oddish,779,Gloom,780,Vileplume,3
782,Lotad,783,Lombre,,,2
782,Lotad,783,Lombre,784,Ludicolo,3
786,Nymble,787,Lokix,,,2
926,Charmander,789,Charmeleon,,,2
926,Charmander,927,Charmeleon,790,Mega Charizard X ex,3
792,Darumaka,793,Darmanitan,,,2
796,Charcadet,797,Ceruledge,,,2
1028,Seel,799,Dewgong,,,2
800,Swinub,801,Piloswine,,,2
800,Swinub,801,Piloswine,802,Mamoswine,3
804,Piplup,805,Prinplup,,,2
807,Yamper,808,Boltund,,,2
809,Pawmi,810,Pawmo,,,2
809,Pawmi,810,Pawmo,811,Pawmot,3
875,Misdreavus,813,Mismagius ex,,,2
814,Cottonee,815,Whimsicott,,,2
817,Bramblin,818,Brambleghast,,,2
820,Gligar,821,Gliscor,,,2
822,Trapinch,823,Vibrava,,,2
822,Trapinch,823,Vibrava,824,Flygon,3
825,Sneasel,826,Weavile,,,2
827,Carvanha,828,Mega Sharpedo ex,,,2
830,Sandile,831,Krokorok,,,2
830,Sandile,831,Krokorok,832,Krookodile,3
833,Toxel,834,Toxtricity,,,2
804,Piplup,805,Prinplup,835,Empoleon ex,3
989,Bronzor,837,Bronzong,,,2
992,Duraludon,840,Archaludon,,,2
841,Jigglypuff,842,Wigglytuff,,,2
843,Aipom,844,Ambipom,,,2
846,Zigzagoon,847,Linoone,,,2
848,Buneary,849,Mega Lopunny ex,,,2
850,Wurmple,851,Silcoon,,,2
850,Wurmple,851,Silcoon,852,Beautifly,3
850,Wurmple,853,Cascoon,,,2
850,Wurmple,853,Cascoon,854,Dustox,3
856,Numel,857,Camerupt,,,2
858,Psyduck,859,Golduck,,,2
860,Snorunt,861,Mega Froslass ex,,,2
862,N's Vanillite,863,N's Vanillish,,,2
862,N's Vanillite,863,N's Vanillish,864,N's Vanilluxe,3
865,Snom,866,Frosmoth,,,2
511,Tynamo,512,Eelektrik,868,Mega Eelektross ex,3
955,Helioptile,871,Heliolisk,,,2
873,Team Rocket's Exeggcute,874,Team Rocket's Exeggutor,,,2
875,Misdreavus,876,Mismagius,,,2
878,Hop's Phantump,879,Hop's Trevenant,,,2
881,Team Rocket's Diglett,882,Team Rocket's Dugtrio,,,2
883,Meditite,884,Medicham,,,2
887,Rolycoly,888,Carkol,,,2
887,Rolycoly,888,Carkol,889,Coalossal,3
463,Team Rocket's Murkrow,891,Team Rocket's Honchkrow,,,2
892,Galarian Zigzagoon,893,Galarian Linoone,,,2
892,Galarian Zigzagoon,893,Galarian Linoone,894,Galarian Obstagoon,3
895,Scraggy,896,Mega Scrafty ex,,,2
885,Pancham,897,Pangoro,,,2
899,Pawniard,900,Bisharp,,,2
899,Pawniard,900,Bisharp,901,Kingambit,3
902,Dratini,903,Dragonair,,,2
902,Dratini,903,Dragonair,904,Mega Dragonite ex,3
907,Noibat,908,Noivern,,,2
909,Erika's Oddish,910,Erika's Gloom,,,2
909,Erika's Oddish,910,Erika's Gloom,911,Erika's Vileplume ex,3
912,Erika's Bellsprout,913,Erika's Weepinbell,,,2
912,Erika's Bellsprout,913,Erika's Weepinbell,914,Erika's Victreebel,3
917,Chikorita,918,Bayleef,,,2
917,Chikorita,918,Bayleef,919,Mega Meganium ex,3
346,Applin,921,Dipplin,,,2
922,Sprigatito,923,Floragato,,,2
922,Sprigatito,923,Floragato,924,Meowscarada,3
926,Charmander,927,Charmeleon,,,2
926,Charmander,927,Charmeleon,928,Mega Charizard Y ex,3
930,Tepig,931,Pignite,,,2
930,Tepig,931,Pignite,932,Mega Emboar ex,3
717,Sizzlipede,934,Centiskorch,,,2
935,Fuecoco,936,Crocalor,,,2
937,Totodile,938,Croconaw,,,2
937,Totodile,938,Croconaw,939,Mega Feraligatr ex,3
860,Snorunt,940,Glalie,,,2
941,Spheal,942,Sealeo,,,2
941,Spheal,942,Sealeo,943,Walrein,3
948,Pikachu,949,Raichu,,,2
1035,Shinx,1036,Luxio,954,Luxray ex,3
1039,Clefairy,958,Clefable,,,2
959,Togepi,960,Togetic,,,2
961,Marill,962,Azumarill ex,,,2
521,Elgyem,964,Beheeyem,,,2
965,Swirlix,966,Slurpuff,,,2
967,Fidough,968,Dachsbun ex,,,2
980,Venipede,981,Whirlipede,,,2
980,Venipede,981,Whirlipede,982,Scolipede,3
983,Vullaby,984,Mandibuzz ex,,,2
168,Meltan,991,Melmetal,,,2
548,Axew,994,Fraxure,,,2
548,Axew,994,Fraxure,995,Haxorus,3
996,Larry's Dunsparce,997,Larry's Dudunsparce ex,,,2
998,Slakoth,999,Vigoroth,,,2
1000,Skitty,1001,Delcatty,,,2
1003,Larry's Starly,1004,Larry's Staravia,,,2
1003,Larry's Starly,1004,Larry's Staravia,1005,Larry's Staraptor,3
1007,Larry's Rufflet,1008,Larry's Braviary,,,2
1011,Spinarak,1012,Ariados,,,2
1014,Snivy,1015,Servine,,,2
1014,Snivy,1015,Servine,1016,Serperior,3
1017,Scatterbug,1018,Spewpa,,,2
1017,Scatterbug,1018,Spewpa,1019,Vivillon,3
1020,Rowlet,1021,Dartrix,,,2
1020,Rowlet,1021,Dartrix,1022,Decidueye ex,3
1075,Fletchling,1023,Fletchinder,,,2
1075,Fletchling,1023,Fletchinder,1024,Talonflame,3
1025,Salandit,1026,Salazzle ex,,,2
1028,Seel,1029,Dewgong,,,2
1030,Staryu,1031,Mega Starmie ex,,,2
1151,Antique Sail Fossil,1032,Amaura,,,2
1151,Antique Sail Fossil,1032,Amaura,1033,Aurorus,3
1035,Shinx,1036,Luxio,,,2
1035,Shinx,1036,Luxio,1037,Luxray,3
1039,Clefairy,1040,Mega Clefable ex,,,2
1042,Espurr,1043,Meowstic,,,2
1044,Spritzee,1045,Aromatisse,,,2
1046,Nosepass,1047,Probopass,,,2
1048,Hippopotas,1049,Hippowdon,,,2
1051,Binacle,1052,Barbaracle,,,2
1150,Antique Jaw Fossil,1053,Tyrunt,,,2
1150,Antique Jaw Fossil,1053,Tyrunt,1054,Tyrantrum,3
1057,Gastly,1058,Haunter,,,2
1057,Gastly,1058,Haunter,1059,Gengar,3
1060,Skorupi,1061,Drapion,,,2
1065,Honedge,1066,Doublade,,,2
1065,Honedge,1066,Doublade,1067,Aegislash,3
1069,Rattata,1070,Raticate,,,2
1073,Bunnelby,1074,Diggersby,,,2
