attack_id,card_id,card_name,move_name,energies,energy_cost_count,damage,damage_per_energy,text,csv_cost_text,csv_damage_text
18,30,Magcargo ex,Ground Burn,FIRE;FIRE;COLORLESS,3,140,46.67,Discard the top card of each player’s deck. This attack does 140 more damage for each Energy card discarded in this way.,{R}{R}●,140
19,31,Chi-Yu,Allure,COLORLESS,1,0,0.0,Draw 2 cards.,●,n/a
20,31,Chi-Yu,Ground Melter,FIRE;COLORLESS,2,60,30.0,"If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium.",{R}●,60
21,32,Glaceon,Permeating Chill,WATER,1,30,30.0,"At the end of your opponent’s next turn, put 9 damage counters on the Defending Pokémon.",{W},30
22,32,Glaceon,Icicle Missile,WATER;COLORLESS,2,70,35.0,,{W}●,70
23,33,Froakie,Flock,WATER,1,0,0.0,"Search your deck for up to 2 Froakie and put them onto your Bench. Then, shuffle your deck.",{W},n/a
24,33,Froakie,Flop,WATER,1,10,10.0,,{W},10
25,34,Frogadier,Numbing Water,WATER,1,20,20.0,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed.",{W},20
26,35,Walking Wake,Aurora Gain,WATER,1,20,20.0,Heal 20 damage from this Pokémon.,{W},20
27,35,Walking Wake,Undulating Slice,WATER;WATER;COLORLESS,3,0,0.0,Put up to 9 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.,{W}{W}●,20×
28,36,Morpeko,Pick and Stick,LIGHTNING,1,0,0.0,Attach up to 2 Basic Energy cards from your discard pile to your Pokémon in any way you like.,{L},n/a
29,37,Iron Thorns ex,Volt Cyclone,LIGHTNING;COLORLESS;COLORLESS,3,140,46.67,Move an Energy from this Pokémon to 1 of your Benched Pokémon.,{L}●●,140
30,38,Girafarig,Dual Headbutt,COLORLESS,1,30,30.0,This attack also does 10 damage to 1 of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.),●,30
31,39,Enamorus,Heart Sign,COLORLESS,1,30,30.0,,●,30
32,39,Enamorus,Love Resonance,PSYCHIC;COLORLESS;COLORLESS,3,80,26.67,"If any of your Pokémon in play are the same type as any of your opponent’s Pokémon in play, this attack does 120 more damage.",{P}●●,80
33,40,Greninja ex,Shinobi Blade,WATER,1,170,170.0,"You may search your deck for a card and put it into your hand. Then, shuffle your deck.",{W},170
34,40,Greninja ex,Mirage Barrage,WATER;COLORLESS;COLORLESS,3,0,0.0,Discard 2 Energy from this Pokémon. This attack does 120 damage to 2 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.),{W}●●,n/a
35,41,Ting-Lu,Ground Crasher,FIGHTING,1,30,30.0,"If a Stadium is in play, this attack also does 30 damage to each of your opponent’s Benched Pokémon, and discard that Stadium. (Don’t apply Weakness and Resistance for Benched Pokémon.)",{F},30
36,41,Ting-Lu,Hammer In,FIGHTING;FIGHTING;COLORLESS,3,110,36.67,,{F}{F}●,110
37,42,Applin,Find a Friend,COLORLESS,1,0,0.0,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",●,n/a
38,42,Applin,Rolling Tackle,GRASS;FIRE,2,30,15.0,,{G}{R},30
39,43,Eevee,Ascension,COLORLESS,1,0,0.0,"Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck.",●,n/a
40,43,Eevee,Quick Attack,COLORLESS;COLORLESS;COLORLESS,3,20,6.67,"Flip a coin. If heads, this attack does 20 more damage.",●●●,20
41,44,Bloodmoon Ursaluna ex,Blood Moon,COLORLESS;COLORLESS;COLORLESS;COLORLESS;COLORLESS,5,240,48.0,"During your next turn, this Pokémon can’t use attacks.",●●●●●,240
42,45,Shaymin,Pinpoint Dive,GRASS,1,0,0.0,This attack does 60 damage to 1 of your opponent’s Benched Pokémon {ex} or Benched Pokémon {V}. (Don’t apply Weakness and Resistance for Benched Pokémon.),{G},n/a
43,45,Shaymin,Rear Kick,COLORLESS;COLORLESS,2,50,25.0,,●●,50
44,46,Gouging Fire ex,Heat Blast,FIRE;COLORLESS,2,60,30.0,,{R}●,60
45,46,Gouging Fire ex,Blaze Blitz,FIRE;FIRE;COLORLESS,3,260,86.67,This Pokémon can’t use Blaze Blitz again until it leaves the Active Spot.,{R}{R}●,260
46,47,Totodile,Big Bite,WATER,1,10,10.0,"During your opponent’s next turn, the Defending Pokémon can’t retreat.",{W},10
47,48,Croconaw,Reverse Thrust,WATER,1,30,30.0,Switch this Pokémon with 1 of your Benched Pokémon.,{W},30
48,49,Feraligatr,Giant Wave,WATER;WATER,2,160,80.0,"During your next turn, this Pokémon can’t use Giant Wave.",{W}{W},160
49,50,Wiglett,Lucky Find,WATER,1,0,0.0,"Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck.",{W},n/a
50,50,Wiglett,Aqua Bomb,WATER;WATER,2,40,20.0,This Pokémon also does 20 damage to itself.,{W}{W},40
51,51,Palafin,Vanguard Punch,WATER,1,130,130.0,This Pokémon also does 10 damage to itself for each damage counter on it.,{W},130
52,51,Palafin,Double Hit,WATER;COLORLESS;COLORLESS,3,0,0.0,Flip 2 coins. This attack does 90 damage for each heads.,{W}●●,90×
53,52,Wugtrio ex,Tricolor Pump,WATER,1,0,0.0,Discard up to 3 Energy cards from your hand. This attack does 60 damage to 1 of your opponent’s Pokémon for each Energy card you discarded in this way. (Don’t apply Weakness and Resistance for Benched Pokémon.),{W},n/a
54,52,Wugtrio ex,Numbing Hold,WATER;WATER,2,120,60.0,"During your opponent’s next turn, the Defending Pokémon can’t retreat.",{W}{W},120
55,53,Marill,Ball Roll,COLORLESS,1,0,0.0,Flip a coin until you get tails. This attack does 10 damage for each heads.,●,10×
56,53,Marill,Magical Shot,PSYCHIC;COLORLESS;COLORLESS,3,40,13.33,,{P}●●,40
57,54,Bronzor,Mirror Attack,PSYCHIC,1,10,10.0,"If your opponent’s Active Pokémon is a {P} Pokémon, this attack does 30 more damage.",{P},10
58,55,Bronzong,Evolution Jammer,PSYCHIC,1,30,30.0,"During your opponent’s next turn, they can’t play any Pokémon from their hand to evolve their Pokémon.",{P},30
59,55,Bronzong,Super Psy Bolt,PSYCHIC;COLORLESS;COLORLESS,3,100,33.33,,{P}●●,100
60,56,Flutter Mane,Hex Hurl,COLORLESS;COLORLESS;COLORLESS,3,90,30.0,Put 2 damage counters on your opponent’s Benched Pokémon in any way you like.,●●●,90
61,57,Relicanth,Razor Fin,FIGHTING;COLORLESS,2,30,15.0,,{F}●,30
62,58,Great Tusk,Land Collapse,COLORLESS;COLORLESS,2,0,0.0,"Discard the top card of your opponent’s deck. If you played an Ancient Supporter card from your hand during this turn, discard 3 more cards in this way.",●●,n/a
63,58,Great Tusk,Giant Tusk,FIGHTING;FIGHTING;COLORLESS;COLORLESS,4,160,40.0,,{F}{F}●●,160
64,59,Gastly,Mysterious Beam,DARKNESS,1,0,0.0,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon.",{D},n/a
65,59,Gastly,Suffocating Gas,DARKNESS;DARKNESS,2,30,15.0,,{D}{D},30
66,60,Haunter,Super Poison Breath,DARKNESS;DARKNESS,2,30,15.0,Your opponent’s Active Pokémon is now Poisoned.,{D}{D},30
67,61,Roaring Moon,Vengeance Fletching,DARKNESS;DARKNESS,2,70,35.0,This attack does 10 more damage for each Ancient card in your discard pile.,{D}{D},70
68,61,Roaring Moon,Speed Wing,DARKNESS;COLORLESS;COLORLESS;COLORLESS,4,120,30.0,,{D}●●●,120
69,62,Koraidon,Primordial Beatdown,FIGHTING;COLORLESS,2,0,0.0,This attack does 30 damage for each of your Ancient Pokémon in play.,{F}●,30×
70,62,Koraidon,Shred,FIRE;FIGHTING;COLORLESS,3,130,43.33,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.,{R}{F}●,130
71,63,Raging Bolt ex,Burst Roar,COLORLESS,1,0,0.0,Discard your hand and draw 6 cards.,●,n/a
72,63,Raging Bolt ex,Bellowing Thunder,LIGHTNING;FIGHTING,2,0,0.0,You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.,{L}{F},70×
73,64,Hoothoot,Silent Wing,COLORLESS;COLORLESS,2,20,10.0,Your opponent reveals their hand.,●●,20
74,65,Dunsparce,Gnaw,COLORLESS,1,10,10.0,,●,10
75,65,Dunsparce,Dig,COLORLESS;COLORLESS,2,30,15.0,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon.",●●,30
76,66,Dudunsparce,Land Crush,COLORLESS;COLORLESS;COLORLESS,3,90,30.0,,●●●,90
77,67,Pineco,Ram,COLORLESS;COLORLESS;COLORLESS,3,50,16.67,,●●●,50
78,68,Seedot,Rigidify,GRASS,1,0,0.0,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",{G},n/a
79,68,Seedot,Hang Down,COLORLESS;COLORLESS,2,20,10.0,,●●,20
80,69,Nuzleaf,Corkscrew Punch,GRASS,1,20,20.0,,{G},20
81,69,Nuzleaf,Comet Slap,COLORLESS;COLORLESS,2,0,0.0,Flip 3 coins. This attack does 30 damage for each heads.,●●,30×
82,70,Shiftry,Expelling Tornado,GRASS,1,0,0.0,"Choose 3 of your opponent’s Benched Pokémon. If you do, shuffle all of your opponent’s Benched Pokémon that you didn’t choose, and all cards attached to those Pokémon, into their deck.",{G},n/a
83,70,Shiftry,Energy Loop,COLORLESS;COLORLESS,2,140,70.0,Put an Energy attached to this Pokémon into your hand.,●●,140
84,71,Deerling,Flop,COLORLESS,1,10,10.0,,●,10
85,71,Deerling,Leaf Litter Tackle,GRASS;COLORLESS;COLORLESS,3,40,13.33,Discard a {G} Energy from this Pokémon.,{G}●●,40
86,72,Sawsbuck,Superpowered Horns,GRASS;COLORLESS;COLORLESS,3,110,36.67,,{G}●●,110
87,73,Rellor,Slight Intrusion,COLORLESS,1,30,30.0,This Pokémon also does 10 damage to itself.,●,30
88,74,Rabsca,Psychic,GRASS,1,10,10.0,This attack does 30 more damage for each Energy attached to your opponent’s Active Pokémon.,{G},10
89,75,Iron Leaves ex,Prism Edge,GRASS;GRASS;COLORLESS,3,180,60.0,"During your next turn, this Pokémon can’t use attacks.",{G}{G}●,180
90,76,Slugma,Roasting Heat,FIRE,1,10,10.0,"If your opponent’s Active Pokémon is Burned, this attack does 40 more damage.",{R},10
91,77,Litten,Fake Out,FIRE,1,10,10.0,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed.",{R},10
92,78,Torracat,Bite,FIRE,1,30,30.0,,{R},30
93,78,Torracat,Flare Strike,FIRE;COLORLESS;COLORLESS,3,80,26.67,"During your next turn, this Pokémon can’t use Flare Strike.",{R}●●,80
94,79,Incineroar ex,Blaze Blast,FIRE;COLORLESS;COLORLESS;COLORLESS;COLORLESS,5,240,48.0,Your opponent’s Active Pokémon is now Burned.,{R}●●●●,240
95,80,Iron Crown ex,Twin Shotels,PSYCHIC;COLORLESS;COLORLESS,3,0,0.0,"This attack does 50 damage to 2 of your opponent’s Pokémon. This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on those Pokémon.",{P}●●,n/a
96,81,Drilbur,Sand Spray,FIGHTING;COLORLESS,2,20,10.0,,{F}●,20
97,82,Excadrill,Mud Shot,COLORLESS,1,20,20.0,,●,20
98,82,Excadrill,Wild Tackle,FIGHTING;FIGHTING;COLORLESS,3,180,60.0,This Pokémon also does 50 damage to itself.,{F}{F}●,180
99,83,Farigiraf ex,Dirty Beam,PSYCHIC;COLORLESS;COLORLESS,3,160,53.33,This attack also does 30 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.),{P}●●,160
100,84,Scizor ex,Steel Wing,COLORLESS;COLORLESS,2,70,35.0,"During your opponent’s next turn, this Pokémon takes 50 less damage from attacks (after applying Weakness and Resistance).",●●,70
101,84,Scizor ex,Cross Breaker,METAL;METAL,2,0,0.0,Discard up to 2 {M} Energy from this Pokémon. This attack does 120 damage for each card you discarded in this way.,{M}{M},120×
102,85,Beldum,Dig Claws,METAL,1,10,10.0,,{M},10
103,85,Beldum,Iron Tackle,METAL;COLORLESS;COLORLESS,3,50,16.67,This Pokémon also does 10 damage to itself.,{M}●●,50
104,86,Metang,Beam,METAL;COLORLESS;COLORLESS,3,60,20.0,,{M}●●,60
105,87,Miraidon,Peak Acceleration,COLORLESS,1,40,40.0,"Search your deck for up to 2 Basic Energy cards and attach them to your Future Pokémon in any way you like. Then, shuffle your deck.",●,40
106,87,Miraidon,Sparking Strike,LIGHTNING;LIGHTNING;PSYCHIC,3,160,53.33,,{L}{L}{P},160
107,88,Volbeat,Quick Sign,COLORLESS,1,0,0.0,"If you go first, you can use this attack during your first turn. Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.",●,n/a
108,88,Volbeat,Coordinated Strike,COLORLESS;COLORLESS,2,20,10.0,"If Illumise is on your Bench, this attack does 60 more damage.",●●,20
109,89,Grookey,Smash Kick,GRASS,1,10,10.0,,{G},10
110,89,Grookey,Branch Poke,GRASS;GRASS,2,30,15.0,,{G}{G},30
111,90,Thwackey,Beat,GRASS;GRASS,2,50,25.0,,{G}{G},50
112,91,Rillaboom,Drum Beating,GRASS,1,60,60.0,"During your opponent’s next turn, attacks used by the Defending Pokémon cost {C} more, and its Retreat Cost is {C} more.",{G},60
113,91,Rillaboom,Wood Hammer,GRASS;GRASS,2,180,90.0,This Pokémon also does 50 damage to itself.,{G}{G},180
114,92,Applin,Tumbling Attack,GRASS,1,10,10.0,"Flip a coin. If heads, this attack does 20 more damage.",{G},10
115,93,Dipplin,Do the Wave,GRASS,1,0,0.0,This attack does 20 damage for each of your Benched Pokémon.,{G},20×
116,94,Sinistcha,Cursed Drop,GRASS,1,0,0.0,Put 4 damage counters on your opponent’s Pokémon in any way you like.,{G},n/a
117,94,Sinistcha,Spill the Tea,GRASS,1,0,0.0,Discard up to 3 {G} Energy cards from your Pokémon. This attack does 70 damage for each card you discarded in this way.,{G},70×
118,95,Teal Mask Ogerpon,Mountain Stroll,COLORLESS,1,0,0.0,"Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.",●,n/a
119,95,Teal Mask Ogerpon,Ogre Comeback,GRASS;COLORLESS,2,20,10.0,This attack does 20 more damage for each of your opponent’s Benched Pokémon.,{G}●,20
120,96,Teal Mask Ogerpon ex,Myriad Leaf Shower,GRASS;GRASS;GRASS,3,30,10.0,This attack does 30 more damage for each Energy attached to both Active Pokémon.,{G}{G}{G},30
121,97,Litwick,Call for Family,FIRE,1,0,0.0,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.",{R},n/a
122,97,Litwick,Live Coal,FIRE;COLORLESS,2,20,10.0,,{R}●,20
123,98,Chandelure,Mind Ruler,FIRE,1,0,0.0,This attack does 30 damage for each card in your opponent’s hand.,{R},30×
124,99,Hearthflame Mask Ogerpon ex,Wrathful Hearth,FIRE;COLORLESS;COLORLESS,3,0,0.0,This attack does 20 damage for each damage counter on this Pokémon.,{R}●●,20×
125,99,Hearthflame Mask Ogerpon ex,Dynamic Blaze,FIRE;FIRE;FIRE,3,140,46.67,"If your opponent’s Active Pokémon is an Evolution Pokémon, this attack does 140 more damage, and discard all Energy from this Pokémon.",{R}{R}{R},140
126,100,Goldeen,Whirlpool,COLORLESS;COLORLESS,2,10,5.0,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon.",●●,10
127,101,Jynx,Inviting Kiss,COLORLESS,1,0,0.0,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck. If you put any Pokémon onto your Bench in this way, move an Energy from this Pokémon to the new Benched Pokémon.",●,n/a
128,101,Jynx,Icy Snow,WATER,1,30,30.0,,{W},30
129,102,Milotic,Hydro Splash,WATER;COLORLESS;COLORLESS,3,100,33.33,,{W}●●,100
130,103,Snorunt,Astonish,WATER;COLORLESS,2,20,10.0,Choose a random card from your opponent’s hand. Your opponent reveals that card and shuffles it into their deck.,{W}●,20
131,104,Froslass,Frost Smash,WATER;COLORLESS,2,60,30.0,,{W}●,60
132,105,Finizen,Aqua Slash,WATER,1,30,30.0,"During your next turn, this Pokémon can’t use attacks.",{W},30
133,106,Palafin,Wave Splash,WATER;COLORLESS,2,30,15.0,,{W}●,30
134,107,Palafin ex,Giga Impact,WATER,1,250,250.0,"During your next turn, this Pokémon can’t use attacks.",{W},250
135,108,Wellspring Mask Ogerpon ex,Sob,COLORLESS,1,20,20.0,"During your opponent’s next turn, the Defending Pokémon can’t retreat.",●,20
136,108,Wellspring Mask Ogerpon ex,Torrential Pump,WATER;COLORLESS;COLORLESS,3,100,33.33,"You may shuffle 3 Energy attached to this Pokémon into your deck. If you do, this attack also does 120 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)",{W}●●,100
137,109,Abra,Beam,PSYCHIC,1,10,10.0,,{P},10
138,110,Slurpuff,Slurp Slurp,PSYCHIC;COLORLESS,2,0,0.0,"Flip 2 coins. This attack does 90 damage for each heads. If both of them are tails, your opponent’s Active Pokémon is now Confused.",{P}●,90×
139,111,Sandygast,Sand Attack,PSYCHIC,1,10,10.0,"During your opponent’s next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn’t happen.",{P},10
140,111,Sandygast,Spooky Shot,PSYCHIC;COLORLESS;COLORLESS,3,30,10.0,,{P}●●,30
141,112,Munkidori,Mind Bend,PSYCHIC;COLORLESS,2,60,30.0,Your opponent’s Active Pokémon is now Confused.,{P}●,60
142,113,Timburr,Best Punch,FIGHTING,1,40,40.0,"Flip a coin. If tails, this attack does nothing.",{F},40
143,114,Gurdurr,Knuckle Punch,FIGHTING,1,20,20.0,,{F},20
144,114,Gurdurr,Superpower,FIGHTING;COLORLESS;COLORLESS,3,50,16.67,"You may do 30 more damage. If you do, this Pokémon also does 30 damage to itself.",{F}●●,50
145,115,Conkeldurr,Tantrum,FIGHTING,1,80,80.0,This Pokémon is now Confused.,{F},80
146,115,Conkeldurr,Gutsy Swing,FIGHTING;COLORLESS;COLORLESS;COLORLESS,4,250,62.5,"If this Pokémon is affected by a Special Condition, ignore all Energy in this attack’s cost.",{F}●●●,250
147,116,Okidogi,Good Punch,FIGHTING;FIGHTING,2,70,35.0,,{F}{F},70
148,117,Cornerstone Mask Ogerpon ex,Demolish,FIGHTING;COLORLESS;COLORLESS,3,140,46.67,"This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on your opponent’s Active Pokémon.",{F}●●,140
149,118,Heatran,Steel Burst,METAL;COLORLESS;COLORLESS,3,0,0.0,Discard all {M} Energy from this Pokémon. This attack does 50 damage for each card you discarded in this way.,{M}●●,50×
150,119,Dreepy,Petty Grudge,PSYCHIC,1,10,10.0,,{P},10
151,119,Dreepy,Bite,FIRE;PSYCHIC,2,40,20.0,,{R}{P},40
152,120,Drakloak,Dragon Headbutt,FIRE;PSYCHIC,2,70,35.0,,{R}{P},70
153,121,Dragapult ex,Jet Headbutt,COLORLESS,1,70,70.0,,●,70
154,121,Dragapult ex,Phantom Dive,FIRE;PSYCHIC,2,200,100.0,Put 6 damage counters on your opponent’s Benched Pokémon in any way you like.,{R}{P},200
155,122,Tatsugiri,Surf,FIRE;WATER,2,50,25.0,,{R}{W},50
156,123,Farfetch'd,Mach Cut,COLORLESS,1,30,30.0,Discard a Special Energy from your opponent’s Active Pokémon.,●,30
157,124,Chansey,Lucky Attachment,COLORLESS,1,0,0.0,Attach a Basic Energy card from your hand to 1 of your Pokémon.,●,n/a
158,124,Chansey,Boundless Power,COLORLESS;COLORLESS;COLORLESS,3,80,26.67,"During your next turn, this Pokémon can’t use attacks.",●●●,80
159,125,Blissey ex,Return,COLORLESS;COLORLESS;COLORLESS,3,180,60.0,You may draw cards until you have 6 cards in your hand.,●●●,180
160,126,Galvantula,Shocking Web,GRASS;COLORLESS,2,50,25.0,"If this Pokémon has any {L} Energy attached, this attack does 80 more damage.",{G}●,50
161,127,Rowlet,Add On,COLORLESS,1,0,0.0,Draw a card.,●,n/a
162,127,Rowlet,Leafage,GRASS,1,10,10.0,,{G},10
163,128,Dartrix,United Wings,COLORLESS,1,0,0.0,This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.,●,20×
164,128,Dartrix,Cutting Wind,GRASS,1,30,30.0,,{G},30
165,129,Decidueye,Stock Up on Feathers,COLORLESS,1,0,0.0,Draw cards until you have 7 cards in your hand.,●,n/a
166,129,Decidueye,Power Shot,GRASS,1,170,170.0,"Discard a Basic {G} Energy card from your hand. If you can’t, this attack does nothing.",{G},170
167,130,Revavroom ex,Accelerator Flash,METAL,1,20,20.0,"If this Pokémon moved from your Bench to the Active Spot this turn, this attack does 120 more damage.",{M},20
168,130,Revavroom ex,Shattering Speed,METAL;METAL;METAL,3,250,83.33,Discard this Pokémon and all attached cards.,{M}{M}{M},250
169,131,Duskull,Come and Get You,PSYCHIC,1,0,0.0,Put up to 3 Duskull from your discard pile onto your Bench.,{P},n/a
170,131,Duskull,Mumble,PSYCHIC;PSYCHIC,2,30,15.0,,{P}{P},30
171,132,Dusclops,Will-O-Wisp,PSYCHIC;PSYCHIC,2,50,25.0,,{P}{P},50
172,133,Dusknoir,Shadow Bind,PSYCHIC;PSYCHIC;COLORLESS,3,150,50.0,"During your opponent’s next turn, the Defending Pokémon can’t retreat.",{P}{P}●,150
173,134,Sylveon,Mystical Return,PSYCHIC,1,0,0.0,"Flip a coin. If heads, choose 1 of your opponent’s Benched Pokémon. Shuffle that Pokémon and all attached cards into their deck.",{P},n/a
174,134,Sylveon,Disarming Voice,PSYCHIC;COLORLESS;COLORLESS,3,90,30.0,Your opponent’s Active Pokémon is now Confused.,{P}●●,90
175,135,Bloodmoon Ursaluna,Mad Bite,FIGHTING;FIGHTING;COLORLESS,3,100,33.33,This attack does 30 more damage for each damage counter on your opponent’s Active Pokémon.,{F}{F}●,100
176,136,Zorua,Stampede,COLORLESS,1,10,10.0,,●,10
177,136,Zorua,Double Scratch,DARKNESS;COLORLESS,2,0,0.0,Flip 2 coins. This attack does 20 damage for each heads.,{D}●,20×
178,137,Zoroark,Illusory Hijacking,COLORLESS;COLORLESS,2,0,0.0,This attack does 60 damage for each of your opponent’s Pokémon {ex} and Pokémon {V} in play.,●●,60×
179,137,Zoroark,Claw Slash,DARKNESS;COLORLESS;COLORLESS,3,110,36.67,,{D}●●,110
180,138,Okidogi ex,Poisonous Musculature,COLORLESS,1,0,0.0,"Search your deck for up to 2 Basic {D} Energy cards and attach them to this Pokémon. Then, shuffle your deck. If you attached Energy to a Pokémon in this way, this Pokémon is now Poisoned.",●,n/a
181,138,Okidogi ex,Chain-Crazed,DARKNESS;DARKNESS;COLORLESS,3,130,43.33,"If this Pokémon is Poisoned, this attack does 130 more damage.",{D}{D}●,130
182,139,Munkidori ex,Dirty Headbutt,DARKNESS;DARKNESS;COLORLESS,3,190,63.33,"During your next turn, this Pokémon can’t use Dirty Headbutt.",{D}{D}●,190
183,140,Fezandipiti ex,Cruel Arrow,COLORLESS;COLORLESS;COLORLESS,3,0,0.0,This attack does 100 damage to 1 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.),●●●,n/a
184,141,Pecharunt ex,Irritated Outburst,DARKNESS;DARKNESS,2,0,0.0,This attack does 60 damage for each Prize card your opponent has taken.,{D}{D},60×
185,142,Genesect,Magnetic Blast,METAL;COLORLESS;COLORLESS,3,100,33.33,,{M}●●,100
186,143,Varoom,Rigidify,METAL,1,0,0.0,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",{M},n/a
187,143,Varoom,Headbutt Bounce,METAL;METAL,2,20,10.0,,{M}{M},20
188,144,Kyurem,Trifrost,WATER;WATER;METAL;METAL;COLORLESS,5,0,0.0,Discard all Energy from this Pokémon. This attack does 110 damage to 3 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.),{W}{W}{M}{M}●,n/a
189,145,Eevee,Colorful Catch,COLORLESS,1,0,0.0,"Search your deck for up to 3 Basic Energy cards of different types, reveal them, and put them into your hand. Then, shuffle your deck.",●,n/a
190,145,Eevee,Headbutt,COLORLESS;COLORLESS,2,20,10.0,,●●,20
191,146,Lileep,Bind Down,GRASS,1,50,50.0,"During your opponent’s next turn, the Defending Pokémon can’t retreat.",{G},50
192,147,Cradily,Miasma Wind,GRASS,1,0,0.0,This attack does 100 damage for each Special Condition affecting your opponent’s Active Pokémon.,{G},100×
193,148,Mow Rotom,Reaping Dash,COLORLESS,1,30,30.0,"Before doing damage, discard all Pokémon Tools and Special Energy from your opponent’s Active Pokémon.",●,30
194,149,Applin,Spray Fluid,GRASS,1,20,20.0,,{G},20
195,150,Hydrapple ex,Syrup Storm,COLORLESS;COLORLESS,2,30,15.0,This attack does 30 more damage for each {G} Energy attached to all of your Pokémon.,●●,30
196,151,Scorbunny,Quick Attack,COLORLESS,1,10,10.0,"Flip a coin. If heads, this attack does 10 more damage.",●,10
