Card ID,EN Name,EN Expansion,EN Collection No.,JP Name,JP Expansion,JP Collection No.,Category,HP,Type
51,Palafin,TEF,49,イルカマン,SV5K,023/071,n/a,150,{W}
52,Wugtrio ex,TEF,60,ウミトリオex,SV5K,025/071,Tera(Lightning),250,{L}
53,Marill,TEF,64,マリル,SV5K,026/071,n/a,70,{P}
54,Bronzor,TEF,68,ドーミラー,SV5K,028/071,n/a,80,{P}
55,Bronzong,TEF,69,ドータクン,SV5K,029/071,n/a,110,{P}
56,Flutter Mane,TEF,78,ハバタクカミ,MC,355/742,Ancient,90,{P}
57,Relicanth,TEF,84,ジーランス,SV8a,079/187,n/a,100,{F}
58,Great Tusk,TEF,97,イダイナキバ,SV8a,086/187,Ancient,140,{F}
59,Gastly,TEF,102,ゴース,MC,441/742,n/a,60,{D}
60,Haunter,TEF,103,ゴースト,MC,443/742,n/a,90,{D}
61,Roaring Moon,TEF,109,トドロクツキ,SV8a,100/187,Ancient,140,{D}
62,Koraidon,TEF,119,コライドン,MC,550/742,Ancient,140,{N}
63,Raging Bolt ex,TEF,123,タケルライコex,MC,554/742,Ancient,240,{N}
64,Hoothoot,TEF,126,ホーホー,SV5K,054/071,n/a,70,{C}
65,Dunsparce,TEF,128,ノコッチ,SV8a,129/187,n/a,60,{C}
66,Dudunsparce,TEF,129,ノココッチ,SV8a,130/187,n/a,140,{C}
67,Pineco,TEF,2,クヌギダマ,SV5M,002/071,n/a,70,{G}
68,Seedot,TEF,3,タネボー,SV5M,003/071,n/a,60,{G}
69,Nuzleaf,TEF,4,コノハナ,SV5M,004/071,n/a,90,{G}
70,Shiftry,TEF,5,ダーテング,SV5M,005/071,n/a,150,{G}
71,Deerling,TEF,16,シキジカ,SV5M,008/071,n/a,70,{G}
72,Sawsbuck,TEF,17,メブキジカ,SV5M,009/071,n/a,130,{G}
73,Rellor,TEF,23,シガロコ,SV8a,013/187,n/a,50,{G}
74,Rabsca,TEF,24,ベラカス,SV8a,014/187,n/a,70,{G}
75,Iron Leaves ex,TEF,25,テツノイサハex,MC,077/742,Future,220,{G}
76,Slugma,TEF,28,マグマッグ,SV5M,017/071,n/a,80,{R}
77,Litten,TEF,32,ニャビー,MC,130/742,n/a,70,{R}
78,Torracat,TEF,33,ニャヒート,MC,131/742,n/a,100,{R}
79,Incineroar ex,TEF,34,ガオガエンex,MC,132/742,n/a,320,{R}
80,Iron Crown ex,TEF,81,テツノカシラex,MC,361/742,Future,220,{P}
81,Drilbur,TEF,85,モグリュー,SV8a,083/187,n/a,70,{F}
82,Excadrill,TEF,86,ドリュウズ,SV5M,040/071,n/a,130,{F}
83,Farigiraf ex,TEF,108,リキキリンex,MC,486/742,Tera(Darkness),260,{D}
84,Scizor ex,TEF,111,ハッサムex,MC,492/742,n/a,270,{M}
85,Beldum,TEF,113,ダンバル,MC,496/742,n/a,70,{M}
86,Metang,TEF,114,メタング,MC,497/742,n/a,100,{M}
87,Miraidon,TEF,121,ミライドン,MC,552/742,Future,110,{N}
88,Volbeat,TWM,9,バルビート,SV6,004/101,n/a,70,{G}
89,Grookey,TWM,14,サルノリ,SV8a,006/187,n/a,70,{G}
90,Thwackey,TWM,15,バチンキー,SV8a,007/187,n/a,100,{G}
91,Rillaboom,TWM,16,ゴリランダー,SV6,010/101,n/a,180,{G}
92,Applin,TWM,17,カジッチュ,SV6,011/101,n/a,40,{G}
93,Dipplin,TWM,18,カミッチュ,SV8a,009/187,n/a,80,{G}
94,Sinistcha,TWM,22,ヤバソチャ,SV8a,018/187,n/a,70,{G}
95,Teal Mask Ogerpon,TWM,24,オーガポン みどりのめん,MC,080/742,n/a,110,{G}
96,Teal Mask Ogerpon ex,TWM,25,オーガポン みどりのめんex,MC,082/742,Tera(Grass),210,{G}
97,Litwick,TWM,36,ヒトモシ,SV6,019/101,n/a,60,{R}
98,Chandelure,TWM,38,シャンデラ,SV6,021/101,n/a,130,{R}
99,Hearthflame Mask Ogerpon ex,TWM,40,オーガポン かまどのめんex,MC,149/742,Tera(Fire),210,{R}
100,Goldeen,TWM,44,トサキント,SV8a,028/187,n/a,50,{W}
101,Jynx,TWM,46,ルージュラ,SV6,028/101,n/a,90,{W}
102,Milotic,TWM,50,ミロカロス,SV8a,036/187,n/a,120,{W}
103,Snorunt,TWM,51,ユキワラシ,MC,186/742,n/a,60,{W}
104,Froslass,TWM,53,ユキメノコ,SV8a,038/187,n/a,90,{W}
105,Finizen,TWM,59,ナミイルカ,MC,214/742,n/a,70,{W}
106,Palafin,TWM,60,イルカマン,MC,215/742,n/a,100,{W}
107,Palafin ex,TWM,61,イルカマンex,MC,216/742,n/a,340,{W}
108,Wellspring Mask Ogerpon ex,TWM,64,オーガポン いどのめんex,MC,224/742,Tera(Water),210,{W}
109,Abra,TWM,80,ケーシィ,SV8a,057/187,n/a,40,{P}
110,Slurpuff,TWM,90,ペロリーム,SV6,052/101,n/a,120,{P}
111,Sandygast,TWM,91,スナバァ,SV6,053/101,n/a,90,{P}
112,Munkidori,TWM,95,マシマシラ,MC,358/742,n/a,110,{P}
113,Timburr,TWM,103,ドッコラー,SV6,059/101,n/a,80,{F}
114,Gurdurr,TWM,104,ドテッコツ,SV6,060/101,n/a,100,{F}
115,Conkeldurr,TWM,105,ローブシン,SV6,061/101,n/a,180,{F}
116,Okidogi,TWM,111,イイネイヌ,MC,426/742,n/a,130,{F}
117,Cornerstone Mask Ogerpon ex,TWM,112,オーガポン いしずえのめんex,MC,428/742,Tera(Fighting),210,{F}
118,Heatran,TWM,123,ヒードラン,SV6,076/101,n/a,140,{M}
119,Dreepy,TWM,128,ドラメシヤ,MC,546/742,n/a,70,{N}
120,Drakloak,TWM,129,ドロンチ,MC,547/742,n/a,90,{N}
121,Dragapult ex,TWM,130,ドラパルトex,MC,548/742,Tera(Dragon),320,{N}
122,Tatsugiri,TWM,131,シャリタツ,MC,549/742,n/a,70,{N}
123,Farfetch'd,TWM,132,カモネギ,SV6,083/101,n/a,70,{C}
124,Chansey,TWM,133,ラッキー,MC,561/742,n/a,120,{C}
125,Blissey ex,TWM,134,ハピナスex,MC,562/742,n/a,300,{C}
126,Galvantula,SFA,2,デンチュラ,MC,050/742,n/a,100,{G}
127,Rowlet,SFA,3,モクロー,SV6a,003/064,n/a,70,{G}
128,Dartrix,SFA,4,フクスロー,SV6a,004/064,n/a,90,{G}
129,Decidueye,SFA,5,ジュナイパー,SV6a,005/064,n/a,150,{G}
130,Revavroom ex,SFA,15,ブロロロームex,SV6a,015/064,Tera(Lightning),280,{L}
131,Duskull,SFA,18,ヨマワル,MC,308/742,n/a,60,{P}
132,Dusclops,SFA,19,サマヨール,MC,309/742,n/a,90,{P}
133,Dusknoir,SFA,20,ヨノワール,MC,310/742,n/a,160,{P}
134,Sylveon,SFA,22,ニンフィア,SV8a,068/187,n/a,120,{P}
135,Bloodmoon Ursaluna,SFA,25,ガチグマ アカツキ,MC,415/742,n/a,150,{F}
136,Zorua,SFA,31,ゾロア,SV8a,096/187,n/a,70,{D}
137,Zoroark,SFA,32,ゾロアーク,SV8a,097/187,n/a,120,{D}
138,Okidogi ex,SFA,36,イイネイヌex,MC,488/742,n/a,250,{D}
139,Munkidori ex,SFA,37,マシマシラex,SV8a,103/187,n/a,210,{D}
140,Fezandipiti ex,SFA,38,キチキギスex,MC,489/742,n/a,210,{D}
141,Pecharunt ex,SFA,39,モモワロウex,MC,491/742,n/a,190,{D}
142,Genesect,SFA,40,ゲノセクト,SV6a,040/064,n/a,110,{M}
143,Varoom,SFA,43,ブロロン,SV8a,114/187,n/a,70,{M}
144,Kyurem,SFA,47,キュレム,SV6a,047/064,n/a,130,{N}
145,Eevee,SFA,50,イーブイ,PROMO,196/SV-P,n/a,70,{C}
146,Lileep,SCR,5,リリーラ,SV7,003/102,n/a,100,{G}
147,Cradily,SCR,6,ユレイドル,SV7,004/102,n/a,150,{G}
148,Mow Rotom,SCR,8,カットロトム,SV7,006/102,n/a,90,{G}
149,Applin,SCR,12,カジッチュ,MC,062/742,n/a,40,{G}
150,Hydrapple ex,SCR,14,カミツオロチex,MC,064/742,n/a,330,{G}
151,Scorbunny,SCR,26,ヒバニー,MC,137/742,n/a,70,{R}
152,Raboot,SCR,27,ラビフット,MC,138/742,n/a,90,{R}
153,Cinderace ex,SCR,28,エースバーンex,MC,139/742,Tera(Stellar),320,{R}
154,Lapras ex,SCR,32,ラプラスex,SV7,019/102,Tera(Stellar),220,{W}
155,Carracosta,SCR,38,アバゴーラ,SV7,023/102,n/a,160,{W}
156,Crabominable,SCR,42,ケケンカニ,MC,209/742,n/a,160,{W}
157,Chewtle,SCR,43,カムカメ,SV7,025/102,n/a,80,{W}
158,Drednaw,SCR,44,カジリガメ,SV7,026/102,n/a,140,{W}
159,Veluza,SCR,45,ミガルーサ,MC,219/742,n/a,130,{W}
160,Joltik,SCR,50,バチュル,MC,254/742,n/a,30,{L}
161,Galvantula ex,SCR,51,デンチュラex,MC,255/742,Tera(Stellar),260,{L}
162,Slowpoke,SCR,57,ヤドン,SV7,038/102,n/a,80,{P}
163,Slowking,SCR,58,ヤドキング,SV7,039/102,n/a,120,{P}
164,Comfey,SCR,63,キュワワー,SV7,042/102,n/a,70,{P}
165,Klink,SCR,99,ギアル,SV7,067/102,n/a,60,{M}
166,Klang,SCR,100,ギギアル,SV7,068/102,n/a,90,{M}
167,Klinklang,SCR,101,ギギギアル,SV7,069/102,n/a,140,{M}
168,Meltan,SCR,103,メルタン,SV7,070/102,n/a,70,{M}
169,Duraludon,SCR,106,ジュラルドン,MC,524/742,n/a,130,{M}
170,Archaludon,SCR,107,ブリジュラス,MC,525/742,n/a,180,{M}
171,Raging Bolt,SCR,111,タケルライコ,SV7,075/102,Ancient,130,{N}
172,Hoothoot,SCR,114,ホーホー,MC,572/742,n/a,70,{C}
173,Noctowl,SCR,115,ヨルノズク,MC,573/742,n/a,100,{C}
174,Fan Rotom,SCR,118,スピンロトム,M2a,139/193,n/a,70,{C}
175,Bouffalant,SCR,119,バッフロン,M2a,140/193,n/a,100,{C}
176,Terapagos ex,SCR,128,テラパゴスex,MC,630/742,Tera(Stellar),230,{C}
177,Exeggcute,SSP,1,タマタマ,MC,009/742,n/a,30,{G}
178,Zarude,SSP,11,ザルード,SV7a,005/064,n/a,120,{G}
179,Black Kyurem ex,SSP,48,ブラックキュレムex,MC,204/742,n/a,230,{W}
180,Bruxish,SSP,49,ハギギシリ,SV7a,012/064,n/a,110,{W}
181,Quaxwell,SSP,51,ウェルカモ,MC,212/742,n/a,100,{W}
182,Quaquaval,SSP,52,ウェーニバル,MC,213/742,n/a,170,{W}
183,Smoochum,SSP,75,ムチュール,SV7a,018/064,n/a,30,{P}
184,Latias ex,SSP,76,ラティアスex,MC,312/742,n/a,210,{P}
185,Flittle,SSP,94,ヒラヒナ,SV7a,022/064,n/a,40,{P}
186,Gimmighoul,SSP,97,コレクレー,SV7a,024/064,n/a,70,{P}
187,Trapinch,SSP,104,ナックラー,SV7a,025/064,n/a,60,{F}
188,Vibrava,SSP,105,ビブラーバ,SV7a,026/064,n/a,90,{F}
189,Flygon ex,SSP,106,フライゴンex,SV7a,027/064,Tera(Stellar),310,{F}
190,Archaludon ex,SSP,130,ブリジュラスex,MC,526/742,n/a,300,{M}
191,Gholdengo,SSP,131,サーフゴー,MC,534/742,n/a,130,{M}
192,Iron Crown,SSP,132,テツノカシラ,MC,536/742,Future,130,{M}
193,Alolan Exeggutor ex,SSP,133,アローラ ナッシーex,MC,537/742,Tera(Stellar),300,{N}
194,Altaria,SSP,134,チルタリス,SV7a,041/064,n/a,120,{N}
195,Dialga,SSP,135,ディアルガ,SV7a,042/064,n/a,130,{N}
196,Turtonator,SSP,137,バクガメス,SV7a,044/064,n/a,120,{N}
197,Swablu,SSP,148,チルット,SV7a,048/064,n/a,50,{C}
198,Durant ex,SSP,4,アイアントex,MC,052/742,n/a,190,{G}
199,Scatterbug,SSP,5,コフキムシ,SV8,004/106,n/a,40,{G}
200,Spewpa,SSP,6,コフーライ,SV8,005/106,n/a,80,{G}
201,Wo-Chien,SSP,15,チオンジェン,SV8,010/106,n/a,130,{G}
202,Victini,SSP,21,ビクティニ,SV8,012/106,n/a,70,{R}
203,Skeledirge,SSP,31,ラウドボーン,MC,144/742,n/a,180,{R}
204,Charcadet,SSP,33,カルボウ,SV8,020/106,n/a,80,{R}
205,Scovillain ex,SSP,37,スコヴィランex,MC,147/742,n/a,260,{R}
206,Feebas,SSP,41,ヒンバス,MC,184/742,n/a,30,{W}
207,Milotic ex,SSP,42,ミロカロスex,MC,185/742,n/a,270,{W}
208,Shellos,SSP,46,カラナクシ,SV8,030/106,n/a,70,{W}
209,Chien-Pao,SSP,56,パオジアン,M2a,043/193,n/a,120,{W}
210,Pikachu ex,SSP,57,ピカチュウex,M2a,044/193,Tera(Stellar),200,{L}
211,Magneton,SSP,59,レアコイル,MC,232/742,n/a,100,{L}
212,Rotom,SSP,61,ロトム,MC,248/742,n/a,80,{L}
213,Tapu Koko,SSP,65,カプ・コケコ,MC,265/742,n/a,120,{L}
214,Togekiss,SSP,72,トゲキッス,MC,293/742,n/a,140,{P}
215,Uxie,SSP,78,ユクシー,MC,314/742,n/a,70,{P}
216,Mesprit,SSP,79,エムリット,MC,315/742,n/a,70,{P}
217,Azelf,SSP,80,アグノム,MC,316/742,n/a,70,{P}
218,Yamask,SSP,82,デスマス,MC,319/742,n/a,70,{P}
219,Cofagrigus,SSP,83,デスカーン,MC,321/742,n/a,120,{P}
220,Espurr,SSP,84,ニャスパー,MC,331/742,n/a,60,{P}
221,Meowstic,SSP,85,ニャオニクス,MC,332/742,n/a,90,{P}
222,Dedenne,SSP,87,デデンネ,SV8,055/106,n/a,70,{P}
223,PalossandEX,SSP,91,シロデスナex,SV8,057/106,Tera(Stellar),280,{P}
224,Annihilape,SSP,100,コノヨザル,SV8,062/106,n/a,140,{F}
225,Gastrodon,SSP,107,トリトドン,SV8,066/106,n/a,130,{F}
226,Koraidon,SSP,116,コライドン,SV8,069/106,Ancient,130,{F}
227,Deino,SSP,117,モノズ,SV8,070/106,n/a,70,{D}
228,Zweilous,SSP,118,ジヘッド,SV8,071/106,n/a,100,{D}
229,Hydreigon ex,SSP,119,サザンドラex,SV8,072/106,Tera(Stellar),330,{D}
230,Pecharunt,SVP,149,モモワロウ,MC,490/742,n/a,80,{D}
231,Tatsugiri ex,SSP,142,シャリタツex,SV8,081/106,Tera(Stellar),160,{N}
232,Slaking ex,SSP,147,ケッキングex,MC,583/742,n/a,340,{C}
233,Bouffalant,SSP,151,バッフロン,SV8,087/106,n/a,130,{C}
234,Terapagos,SSP,161,テラパゴス,MC,629/742,n/a,120,{C}
235,Budew,PRE,4,スボミー,M2a,011/193,n/a,30,{G}
236,Leafeon ex,PRE,6,リーフィアex,MC,038/742,Tera(Stellar),270,{G}
237,Cottonee,PRE,7,モンメン,SV8a,004/187,n/a,60,{G}
238,Whimsicott,PRE,8,エルフーン,SV8a,005/187,n/a,100,{G}
239,Flareon ex,PRE,14,ブースターex,MC,094/742,Tera(Stellar),270,{R}
240,Seaking,PRE,21,アズマオウ,SV8a,029/187,n/a,110,{W}
241,Vaporeon ex,PRE,23,シャワーズex,MC,161/742,Tera(Stellar),280,{W}
242,Feebas,TWM,49,ヒンバス,SV8a,035/187,n/a,30,{W}
243,Glaceon ex,PRE,26,グレイシアex,MC,162/742,Tera(Stellar),270,{W}
244,Jolteon ex,PRE,30,サンダースex,MC,238/742,Tera(Stellar),260,{L}
245,Alakazam,TWM,82,フーディン,SV8a,059/187,n/a,140,{P}
246,Espeon ex,PRE,34,エーフィex,MC,298/742,Tera(Stellar),270,{P}
247,Swirlix,TWM,89,ペロッパフ,SV8a,067/187,n/a,50,{P}
248,Umbreon ex,PRE,60,ブラッキーex,MC,446/742,Tera(Stellar),280,{D}
249,Eevee ex,PRE,75,イーブイex,MC,566/742,Tera(Stellar),200,{C}
250,Hoothoot,PRE,77,ホーホー,SV8a,127/187,n/a,80,{C}
251,Regigigas,PRE,86,レジギガス,SV8a,132/187,n/a,160,{C}
252,Caterpie,JTG,1,キャタピー,SV9,001/100,n/a,50,{G}
253,Metapod,JTG,2,トランセル,SV9,002/100,n/a,90,{G}
254,Butterfree,JTG,3,バタフリー,SV9,003/100,n/a,120,{G}
255,Maractus,JTG,8,マラカッチ,SV9,006/100,n/a,110,{G}
256,Magmortar,JTG,21,ブーバーン,MC,092/742,n/a,130,{R}
257,N’s Darumaka,JTG,26,Nのダルマッカ,MC,118/742,Trainer's Pokémon(N),80,{R}
258,N’s Darmanitan,JTG,27,Nのヒヒダルマ,MC,119/742,Trainer's Pokémon(N),140,{R}
259,Volcanion ex,JTG,31,ボルケニオンex,MC,129/742,n/a,220,{R}
260,Lotad,JTG,35,ハスボー,MC,175/742,n/a,60,{W}
261,Lombre,JTG,36,ハスブレロ,MC,176/742,n/a,90,{W}
262,Ludicolo,JTG,37,ルンパッパ,MC,177/742,n/a,140,{W}
263,Wailmer,JTG,40,ホエルコ,MC,180/742,n/a,130,{W}
264,Wailord,JTG,41,ホエルオー,MC,181/742,n/a,240,{W}
265,Iono’s Voltorb,JTG,47,ナンジャモのビリリダマ,MC,234/742,Trainer's Pokémon(Iono),70,{L}
266,Iono’s Electrode,JTG,48,ナンジャモのマルマイン,MC,235/742,Trainer's Pokémon(Iono),100,{L}
267,N’s Joltik,JTG,49,Nのバチュル,SV9,028/100,Trainer's Pokémon(N),40,{L}
268,Iono’s Tadbulb,JTG,52,ナンジャモのズピカ,MC,273/742,Trainer's Pokémon(Iono),60,{L}
269,Iono’s Bellibolt ex,JTG,53,ナンジャモのハラバリーex,MC,274/742,Trainer's Pokémon(Iono),280,{L}
270,Iono’s Wattrel,JTG,54,ナンジャモのカイデン,MC,278/742,Trainer's Pokémon(Iono),60,{L}
271,Iono’s Kilowattrel,JTG,55,ナンジャモのタイカイデン,MC,279/742,Trainer's Pokémon(Iono),120,{L}
272,Lillie’s Clefairy ex,JTG,56,リーリエのピッピex,MC,287/742,Trainer's Pokémon(Lillie),190,{P}
273,Banette,JTG,60,ジュペッタ,SV9,036/100,n/a,90,{P}
274,Beldum,JTG,61,ダンバル,SV9,037/100,n/a,60,{P}
275,Metang,JTG,62,メタング,SV9,038/100,n/a,100,{P}
276,Metagross,JTG,63,メタグロス,SV9,039/100,n/a,170,{P}
277,N’s Sigilyph,JTG,64,Nのシンボラー,SV9,040/100,Trainer's Pokémon(N),110,{P}
278,Lillie’s Cutiefly,JTG,66,リーリエのアブリー,MC,338/742,Trainer's Pokémon(Lillie),30,{P}
279,Lillie’s Ribombee,JTG,67,リーリエのアブリボン,MC,339/742,Trainer's Pokémon(Lillie),70,{P}
280,Lillie’s Comfey,JTG,68,リーリエのキュワワー,MC,340/742,Trainer's Pokémon(Lillie),70,{P}
281,Swinub,JTG,77,ウリムー,MC,362/742,n/a,70,{F}
282,Piloswine,JTG,78,イノムー,MC,363/742,n/a,100,{F}
283,Mamoswine ex,JTG,79,マンムーex,MC,364/742,n/a,340,{F}
284,Larvitar,JTG,80,ヨーギラス,SV9,047/100,n/a,70,{F}
285,Pupitar,JTG,81,サナギラス,SV9,048/100,n/a,90,{F}
286,Rockruff,JTG,84,イワンコ,SV9,051/100,n/a,70,{F}
287,Lycanroc,JTG,85,ルガルガン,SV9,052/100,n/a,120,{F}
288,Hop’s Silicobra,JTG,86,ホップのスナヘビ,SV9,053/100,Trainer's Pokémon(Hop),80,{F}
289,Hop’s Sandaconda,JTG,87,ホップのサダイジャ,SV9,054/100,Trainer's Pokémon(Hop),140,{F}
290,Tyranitar,JTG,95,バンギラス,SV9,058/100,n/a,190,{D}
291,N’s Purrloin,JTG,96,Nのチョロネコ,MC,457/742,Trainer's Pokémon(N),70,{D}
292,N’s Zorua,JTG,97,Nのゾロア,MC,469/742,Trainer's Pokémon(N),70,{D}
293,N’s Zoroark ex,JTG,98,Nのゾロアークex,MC,470/742,Trainer's Pokémon(N),280,{D}
294,N’s Klink,JTG,103,Nのギアル,SV9,064/100,Trainer's Pokémon(N),60,{M}
295,N’s Klang,JTG,104,Nのギギアル,SV9,065/100,Trainer's Pokémon(N),90,{M}
296,N’s Klinklang,JTG,105,Nのギギギアル,SV9,066/100,Trainer's Pokémon(N),160,{M}
297,Magearna,JTG,107,マギアナ,MC,515/742,n/a,90,{M}
298,Hop’s Corviknight,JTG,108,ホップのアーマーガア,MC,520/742,Trainer's Pokémon(Hop),170,{M}
299,Hop’s Zacian ex,JTG,111,ホップのザシアンex,MC,527/742,Trainer's Pokémon(Hop),230,{M}
300,Bagon,JTG,112,タツベイ,MC,538/742,n/a,70,{N}
301,Shelgon,JTG,113,コモルー,MC,539/742,n/a,100,{N}
302,Salamence ex,JTG,114,ボーマンダex,MC,540/742,n/a,320,{N}
303,N’s Reshiram,JTG,116,Nのレシラム,MC,545/742,Trainer's Pokémon(N),130,{N}
304,Hop’s Snorlax,JTG,117,ホップのカビゴン,MC,569/742,Trainer's Pokémon(Hop),150,{C}
305,Dunsparce,JTG,120,ノコッチ,MC,574/742,n/a,70,{C}
306,Dudunsparce ex,JTG,121,ノココッチex,MC,575/742,n/a,270,{C}
307,Hop’s Rookidee,JTG,133,ホップのココガラ,MC,622/742,Trainer's Pokémon(Hop),60,{C}
308,Hop’s Corvisquire,JTG,134,ホップのアオガラス,MC,623/742,Trainer's Pokémon(Hop),90,{C}
309,Hop’s Wooloo,JTG,135,ホップのウールー,M2a,141/193,Trainer's Pokémon(Hop),70,{C}
310,Hop’s Dubwool,JTG,136,ホップのバイウールー,M2a,142/193,Trainer's Pokémon(Hop),120,{C}
311,Hop’s Cramorant,JTG,138,ホップのウッウ,MC,624/742,Trainer's Pokémon(Hop),110,{C}
312,Sandy Shocks,TEF,98,スナノケガワ,MC,424/742,Ancient,120,{F}
313,Miraidon ex,TEF,122,ミライドンex,MC,553/742,Future,220,{N}
314,Marill,SCR,33,マリル,SVI,013/066,n/a,70,{W}
315,Azumarill,SSP,74,マリルリ,SVLN,004/022,n/a,120,{P}
316,Sylveon ex,SSP,86,ニンフィアex,MC,299/742,Tera(Stellar),270,{P}
317,Eevee,SSP,143,イーブイ,MC,565/742,n/a,50,{C}
318,Ho-Oh,SSP,19,ホウオウ,SVLS,003/022,n/a,130,{R}
319,Charcadet,SSP,32,カルボウ,M2a,030/193,n/a,70,{R}
320,Ceruledge ex,SSP,36,ソウブレイズex,M2a,031/193,Tera(Stellar),270,{R}
321,Petilil,JTG,6,チュリネ,SVM,007/175,n/a,50,{G}
322,Lilligant,JTG,7,ドレディア,SVM,008/175,n/a,110,{G}
323,Nymble,JTG,19,マメバッタ,SVM,013/175,n/a,50,{G}
324,Torchic,JTG,22,アチャモ,SVM,014/175,n/a,60,{R}
325,Combusken,JTG,23,ワカシャモ,SVM,015/175,n/a,90,{R}
326,Blaziken ex,JTG,24,バシャーモex,SVM,016/175,n/a,320,{R}
327,Slowpoke,PRE,18,ヤドン,SVM,027/175,n/a,70,{W}
328,Pikachu ex,PRE,28,ピカチュウex,SVM,038/175,n/a,190,{L}
329,Tapu Koko ex,JTG,51,カプ・コケコex,SVM,046/175,n/a,200,{L}
