card_id,card_name,ability_name,once_per_turn,passive_static,on_play_or_enter,on_damaged,on_knock_out,on_attack
310,Hop’s Dubwool,Defiant Horn,0,0,1,0,0,0
315,Azumarill,Glistening Bubbles,0,0,0,0,0,0
317,Eevee,Boosted Evolution,0,1,0,0,0,0
322,Lilligant,Sunny Day,0,0,0,0,0,0
326,Blaziken ex,Seething Spirit,1,0,0,0,0,0
330,Sylveon, Safeguard,0,0,0,0,0,0
340,Yanmega ex, Buzzing Boost,1,0,0,0,0,0
342,Cynthia's Roserade, Cheer On to Glory,0,0,0,0,0,0
343,Shaymin, Flower Curtain,0,0,0,0,0,0
345,Crustle, Mysterious Rock Inn,0,0,0,0,0,0
351,Rapidash, Hurried Gait,1,0,0,0,0,0
353,Ethan's Quilava, Bonded by the Journey,1,0,0,0,0,0
356,Ethan's Magcargo, Melt Away,0,0,0,0,0,0
357,Ethan's Ho-Oh ex, Golden Flame,1,0,0,0,0,0
359,Misty's Psyduck, Flustered Leap,1,0,0,0,0,0
362,Misty's Magikarp, So Submerged,0,1,0,0,0,0
380,Cynthia's Gabite, Champion’s Call,1,0,0,0,0,0
383,Mudsdale, Mud Coat,0,0,0,0,0,0
392,Arven's Greedent, Greedy Order,0,0,1,0,0,0
401,Team Rocket's Spidops, Charging Up,1,0,0,0,0,0
414,Team Rocket's Articuno, Repelling Veil,0,0,0,0,0,0
416,Huntail, Diver’s Catch,0,0,0,0,1,0
424,Cetitan ex, Snow Camouflage,0,0,0,0,0,0
428,Team Rocket's Ampharos, Darkest Impulse,0,0,0,0,0,0
431,Team Rocket's Mewtwo ex, Power Saver,0,0,0,0,0,0
436,Team Rocket's Orbeetle, Rocket Brain,0,0,0,0,0,0
439,Annihilape, Lose Cool,0,0,0,0,0,0
442,Team Rocket's Tyranitar, Sand Stream,0,0,0,0,0,0
449,Team Rocket's Arbok, Potent Glare,0,1,0,0,0,0
457,Team Rocket's Golbat, Sneaky Bite,0,0,1,0,0,0
458,Team Rocket's Crobat ex, Biting Spree,0,0,1,0,0,0
461,Team Rocket's Koffing, Smog Signals,0,0,0,1,0,0
475,Team Rocket's Porygon-Z, Reconstitute,1,0,0,0,0,0
481,Serperior ex, Regal Cheer,0,0,0,0,0,0
487,Karrablast, Stimulated Evolution,0,0,0,0,0,0
497,Volcarona, Torrid Scales,1,0,0,0,0,0
504,Carracosta, Mighty Shell,0,0,0,0,0,0
505,Alomomola, Gentle Fin,1,0,0,0,0,0
512,Eelektrik, Dynamotor,1,0,0,0,0,0
525,Meloetta ex, Debut Performance,0,0,0,0,0,0
530,Conkeldurr, Craftsmanship,0,0,0,0,0,0
533,Crustle, Sturdy,0,0,0,0,0,0
537,Scolipede, Poison Point,0,0,0,1,0,0
542,Mandibuzz, Look for Prey,1,0,0,0,0,0
547,Genesect ex, Metallic Signal,1,0,0,0,0,0
558,Swadloon, Healing Leaves,1,0,0,0,0,0
564,Shelmet, Stimulated Evolution,0,0,0,0,0,0
569,Emboar, Inferno Fandango,0,0,0,0,0,0
576,Samurott, Torrential Whirlpool,1,0,0,0,0,0
596,Gothitelle, Distorted Future,1,0,0,0,0,0
598,Jellicent ex, Oceanic Curse,0,1,0,0,0,0
604,Archeops, Ancient Wing,1,0,0,0,0,0
618,Hydreigon ex, Greedy Eater,0,0,0,0,0,0
623,Klinklang, Gear Coating,0,0,0,0,0,0
631,Bouffalant ex, Bouffer,0,0,0,0,0,0
637,Steven's Carbink, Stone Palace,0,1,0,0,0,0
641,Steven's Metagross ex, X-Boot,1,0,0,0,0,0
648,Marnie's Grimmsnarl ex, Punk Up,0,0,1,0,0,0
652,Mega Venusaur ex, Solar Transfer,0,0,0,0,0,0
666,Cinderace, Explosiveness,0,0,0,0,0,0
674,Hariyama, Heave-Ho Catcher,1,0,1,0,0,0
675,Lunatone, Lunar Cycle,1,0,0,0,0,0
685,Garganacl, Powerful a-Salt,0,0,0,0,0,0
688,Spiritomb, Spiteful Swirl,0,0,0,1,0,0
698,Tinkatuff, Haphazard Hammer,1,0,1,0,0,0
705,Gumshoos, Evidence Gathering,1,0,0,0,0,0
710,Meganium, Wild Growth,0,0,0,0,0,0
711,Shuckle, Fermented Juice,1,0,0,0,0,0
713,Ninjask, Cast-Off Shell,1,0,1,0,0,0
716,Pyroar, Intimidating Fang,0,1,0,0,0,0
725,Clawitzer, Fall Back to Reload,1,0,0,0,0,0
742,Kadabra, Psychic Draw,1,0,1,0,0,0
743,Alakazam, Psychic Draw,1,0,1,0,0,0
748,Shedinja, Fragile Husk,0,0,0,0,0,0
750,Grumpig, Energized Steps,1,0,1,0,0,0
755,Latios, Lustrous Assist,1,0,0,0,0,0
756,Mega Kangaskhan ex, Run Errand,1,0,0,0,0,0
766,Mega Diancie ex, Diamond Coat,0,0,0,0,0,0
772,Mega Gengar ex, Shadowy Concealment,0,0,0,0,0,0
784,Ludicolo, Excited Heal,1,0,0,0,0,0
788,Charmander, Agile,0,0,0,0,0,0
795,Oricorio ex, Excited Turbo,0,0,0,0,0,0
799,Dewgong, Thick Fat,0,0,0,0,0,0
806,Rotom ex, Multi Adapter,0,0,0,0,0,0
813,Mismagius ex, Swirling Prose,0,1,0,0,0,0
818,Brambleghast, Prison Panic,1,0,1,0,0,0
824,Flygon, Sandy Flapping,1,0,1,0,1,0
829,Seviper, Excited Power,0,0,0,0,0,0
834,Toxtricity, Sinister Surge,1,0,0,0,0,0
835,Empoleon ex, Emperor’s Stance,0,0,0,0,0,0
847,Linoone, Excited Dash,1,0,0,0,0,0
851,Silcoon, Multiplying Cocoon,1,0,1,0,0,0
854,Dustox, Boisterous Wind,1,0,0,0,0,0
856,Numel, Incandescent Body,0,0,0,1,0,0
858,Psyduck, Damp,0,0,0,0,0,0
859,Golduck, Damp,0,0,0,0,0,0
866,Frosmoth, Alluring Wings,1,0,0,0,0,0
871,Heliolisk, Frilled Generator,1,0,0,0,0,0
882,Team Rocket's Dugtrio, Holes,0,0,0,0,0,0
886,Mega Hawlucha ex, Tenacious Body,0,0,0,0,0,0
896,Mega Scrafty ex, Counterattacking Crest,0,0,0,1,0,0
898,Pecharunt, Final Chain,0,0,0,0,0,0
901,Kingambit, Supreme Overlord,0,0,0,0,0,0
903,Dragonair, Evolutionary Guidance,1,0,0,0,0,0
904,Mega Dragonite ex, Sky Transport,1,0,0,0,0,0
911,Erika's Vileplume ex, Lovely Fragrance,1,0,0,0,0,0
915,Erika's Tangela, Gathering of Blossoms,1,0,0,0,0,0
924,Meowscarada, Showtime,1,0,0,0,0,0
962,Azumarill ex, Bubble Gathering,0,0,0,0,0,0
968,Dachsbun ex, Time to Chow Down,1,0,1,0,0,0
970,Fezandipiti, Adrena-Pheromone,0,0,0,1,0,0
976,Carbink, Double Type,0,1,0,0,0,0
993,Orthworm ex, Pummeling Payback,0,0,0,1,0,0
994,Fraxure, Unnerve,0,0,0,0,0,0
1009,Larry's Komala, Lethargic Charge,1,0,0,0,0,0
1019,Vivillon, Grand Wing,1,0,0,0,0,0
1022,Decidueye ex, Sniper’s Eye,0,0,0,0,0,0
1024,Talonflame, Sky Hunt,1,0,0,0,0,0
1027,Turtonator, Shell Spikes,0,0,0,1,0,0
1029,Dewgong, Wash Out,0,0,0,0,0,0
1033,Aurorus, Tundra Wall,0,0,0,0,0,0
1036,Luxio, Fighting Roar,0,0,0,0,0,0
1040,Mega Clefable ex, Luminous Wing,0,0,0,0,0,0
1045,Aromatisse, Scent Collection,1,0,0,0,0,0
1052,Barbaracle, Stone Arms,1,0,0,0,0,0
1054,Tyrantrum, Tyrannically Gutsy,0,0,0,0,0,0
1059,Gengar, Infinite Shadow,0,0,0,0,0,0
1071,Meowth ex, Last-Ditch Catch,1,0,1,0,0,0
1077,Roto-Stick,Roto-Stick,0,0,0,0,0,0
1078,Hole-Digging Shovel,Hole-Digging Shovel,0,0,0,0,0,0
1079,Rare Candy,Rare Candy,0,0,0,0,0,0
1080,Unfair Stamp,Unfair Stamp,0,0,0,0,0,0
1081,Enhanced Hammer,Enhanced Hammer,0,0,0,0,0,0
1082,Hyper Aroma,Hyper Aroma,0,0,0,0,0,0
1083,Love Ball,Love Ball,0,0,0,0,0,0
1084,Boxed Order,Boxed Order,0,0,0,0,0,0
1085,Awakening Drum,Awakening Drum,0,0,0,0,0,0
1086,Buddy-Buddy Poffin,Buddy-Buddy Poffin,0,0,0,0,0,0
1087,Hand Trimmer,Hand Trimmer,0,0,0,0,0,0
1088,Prime Catcher,Prime Catcher,0,0,0,0,0,0
1089,Reboot Pod,Reboot Pod,0,0,0,0,0,0
1090,Ogre’s Mask,Ogre’s Mask,0,0,0,0,0,0
1091,Accompanying Flute,Accompanying Flute,0,0,0,0,0,0
1092,Secret Box,Secret Box,0,0,0,0,0,0
1093,Scoop Up Cyclone,Scoop Up Cyclone,0,0,0,0,0,0
1094,Bug Catching Set,Bug Catching Set,0,0,0,0,0,0
1095,Dangerous Laser,Dangerous Laser,0,0,0,0,0,0
1096,Poké Vital A,Poké Vital A,0,0,0,0,0,0
1097,Night Stretcher,Night Stretcher,0,0,0,0,0,0
1098,Glass Trumpet,Glass Trumpet,0,0,0,0,0,0
1099,Antique Root Fossil,Primal Root,0,1,0,0,0,0
1099,Antique Root Fossil,Antique Root Fossil,0,0,0,0,0,0
1100,Energy Search Pro,Energy Search Pro,0,0,0,0,0,0
1101,Call Bell,Call Bell,0,0,0,0,0,0
1102,Dusk Ball,Dusk Ball,0,0,0,0,0,0
1103,Meddling Memo,Meddling Memo,0,0,0,0,0,0
1104,Megaton Blower,Megaton Blower,0,0,0,0,0,0
1105,Dragon Elixir,Dragon Elixir,0,0,0,0,0,0
1106,Deduction Kit,Deduction Kit,0,0,0,0,0,0
1107,Scramble Switch,Scramble Switch,0,0,0,0,0,0
1108,Chill Teaser Toy,Chill Teaser Toy,0,0,0,0,0,0
1109,Miracle Headset,Miracle Headset,0,0,0,0,0,0
1110,Max Rod,Max Rod,0,0,0,0,0,0
1111,Treasure Tracker,Treasure Tracker,0,0,0,0,0,0
1112,Super Potion,Super Potion,0,0,0,0,0,0
1113,N’s PP Up,N’s PP Up,0,0,0,0,0,0
1114,Redeemable Ticket,Redeemable Ticket,0,0,0,0,0,0
1115,Hop’s Bag,Hop’s Bag,0,0,0,0,0,0
1116,Energy Switch,Energy Switch,0,0,0,0,0,0
1117,Potion,Potion,0,0,0,0,0,0
1118,Energy Retrieval,Energy Retrieval,0,0,0,0,0,0
1119,Energy Search,Energy Search,0,0,0,0,0,0
1120,Crushing Hammer,Crushing Hammer,0,0,0,0,0,0
1121,Ultra Ball,Ultra Ball,0,0,0,0,0,0
1122,Pokégear 3.0,Pokégear 3.0,0,0,0,0,0,0
1123,Switch,Switch,0,0,0,0,0,0
1124,Pokémon Catcher,Pokémon Catcher,0,0,0,0,0,0
1125,Master Ball,Master Ball,0,0,0,0,0,0
1126,Precious Trolley,Precious Trolley,0,0,0,0,0,0
1127,Tera Orb,Tera Orb,0,0,0,0,0,0
1128,Brilliant Blender,Brilliant Blender,0,0,0,0,0,0
1129,Sacred Ash,Sacred Ash,0,0,0,0,0,0
1130,Arven's Sandwich,Arven's Sandwich,0,0,0,0,0,0
1131,Team Rocket's Bother-Bot,Team Rocket's Bother-Bot,0,0,0,0,0,0
1132,Team Rocket's Great Ball,Team Rocket's Great Ball,0,0,0,0,0,0
1133,Team Rocket's Venture Bomb,Team Rocket's Venture Bomb,0,0,0,0,0,0
1134,Team Rocket's Transceiver,Team Rocket's Transceiver,0,0,0,0,0,0
1135,Energy Coin,Energy Coin,0,0,0,0,0,0
1136,Antique Cover Fossil, Protective Cover,0,0,0,0,0,0
1136,Antique Cover Fossil,Antique Cover Fossil,0,0,0,0,0,0
1137,Tool Scrapper,Tool Scrapper,0,0,0,0,0,0
1138,Antique Plume Fossil, Plume Protection,0,1,0,0,0,0
1138,Antique Plume Fossil,Antique Plume Fossil,0,0,0,0,0,0
1139,Energy Recycler,Energy Recycler,0,0,0,0,0,0
1140,Iron Defender,Iron Defender,0,0,0,0,0,0
1141,Premium Power Pro,Premium Power Pro,0,0,0,0,0,0
1142,Fighting Gong,Fighting Gong,0,0,0,0,0,0
1143,Repel,Repel,0,0,0,0,0,0
1144,Strange Timepiece,Strange Timepiece,0,0,0,0,0,0
1145,Mega Signal,Mega Signal,0,0,0,0,0,0
1146,Wondrous Patch,Wondrous Patch,0,0,0,0,0,0
1147,Jumbo Ice Cream,Jumbo Ice Cream,0,0,0,0,0,0
1148,Blowtorch,Blowtorch,0,0,0,0,0,0
1149,Energy Swatter,Energy Swatter,0,0,0,0,0,0
1150,Antique Jaw Fossil, Intimidating Jaw,0,1,0,0,0,0
1150,Antique Jaw Fossil,Antique Jaw Fossil,0,0,0,0,0,0
1151,Antique Sail Fossil, Protective Sail,0,0,0,0,0,0
1151,Antique Sail Fossil,Antique Sail Fossil,0,0,0,0,0,0
1152,Poké Pad,Poké Pad,0,0,0,0,0,0
1153,Lumiose Galette,Lumiose Galette,0,0,0,0,0,0
1154,Team Rocket’s Hypnotizer,Team Rocket’s Hypnotizer,0,0,0,1,0,0
1155,Survival Brace,Survival Brace,0,0,0,0,0,0
1156,Lucky Helmet,Lucky Helmet,0,0,0,1,0,0
1157,Rescue Board,Rescue Board,0,0,0,0,0,0
1158,Maximum Belt,Maximum Belt,0,0,0,0,0,0
1159,Hero’s Cape,Hero’s Cape,0,0,0,0,0,0
1160,Heavy Baton,Heavy Baton,0,0,0,0,0,0
1161,Handheld Fan,Handheld Fan,0,0,0,1,0,0
1162,Binding Mochi,Binding Mochi,0,0,0,0,0,0
1163,Powerglass,Powerglass,0,0,0,0,0,0
1164,Payapa Berry,Payapa Berry,0,0,0,1,0,0
1165,Sparkling Crystal,Sparkling Crystal,0,0,0,0,0,0
1166,Gravity Gemstone,Gravity Gemstone,0,0,0,0,0,0
1167,Deluxe Bomb,Deluxe Bomb,0,0,0,1,0,0
1168,Counter Gain,Counter Gain,0,0,0,0,0,0
1169,Amulet of Hope,Amulet of Hope,0,0,0,0,0,0
1170,Haban Berry,Haban Berry,0,0,0,1,0,0
1171,Hop’s Choice Band,Hop’s Choice Band,0,0,0,0,0,0
1172,Lillie’s Pearl,Lillie’s Pearl,0,0,0,0,0,0
1173,Cynthia's Power Weight,Cynthia's Power Weight,0,0,0,0,0,0
1174,Air Balloon,Air Balloon,0,0,0,0,0,0
1175,Brave Bangle,Brave Bangle,0,0,0,0,0,0
1176,Punk Helmet,Punk Helmet,0,0,0,1,0,0
1177,Sacred Charm,Sacred Charm,0,0,0,0,0,0
1178,Light Ball,Light Ball,0,0,0,0,0,0
1179,Thick Scale,Thick Scale,0,0,0,0,0,0
1180,Core Memory,Core Memory,0,0,0,0,0,0
1181,Billy & O'Nare,Billy & O'Nare,0,0,0,0,0,0
1182,Boss’s Orders,Boss’s Orders,0,0,0,0,0,0
1183,Perrin,Perrin,0,0,0,0,0,0
1184,Lana’s Aid,Lana’s Aid,0,0,0,0,0,0
1185,Explorer’s Guidance,Explorer’s Guidance,0,0,0,0,0,0
1186,Eri,Eri,0,0,0,0,0,0
1187,Morty’s Conviction,Morty’s Conviction,0,0,0,0,0,0
1188,Ciphermaniac’s Codebreaking,Ciphermaniac’s Codebreaking,0,0,0,0,0,0
1189,Salvatore,Salvatore,0,0,0,0,0,0
1190,Bianca’s Devotion,Bianca’s Devotion,0,0,0,0,0,0
1191,Kieran,Kieran,0,0,0,0,0,0
1192,Carmine,Carmine,0,0,0,0,0,0
1193,Hassel,Hassel,0,0,0,0,0,0
1194,Colress’s Tenacity,Colress’s Tenacity,0,0,0,0,0,0
1195,Janine’s Secret Art,Janine’s Secret Art,0,0,0,0,0,0
1196,Cassiopeia,Cassiopeia,0,0,0,0,0,0
1197,Xerosic’s Machinations,Xerosic’s Machinations,0,0,0,0,0,0
1198,Crispin,Crispin,0,0,0,0,0,0
1199,Lacey,Lacey,0,0,0,0,0,0
1200,Kofu,Kofu,0,0,0,0,0,0
1201,Briar,Briar,0,0,0,0,0,0
1202,Drayton,Drayton,0,0,0,0,0,0
1203,Surfer,Surfer,0,0,0,0,0,0
1204,Lisia’s Appeal,Lisia’s Appeal,0,0,0,0,0,0
1205,Cyrano,Cyrano,0,0,0,0,0,0
1206,Larry’s Skill,Larry’s Skill,0,0,0,0,0,0
1207,Amarys,Amarys,0,0,0,0,0,0
1208,Iris’s Fighting Spirit,Iris’s Fighting Spirit,0,0,0,0,0,0
1209,Ruffian,Ruffian,0,0,0,0,0,0
1210,Brock’s Scouting,Brock’s Scouting,0,0,0,0,0,0
1211,Black Belt’s Training,Black Belt’s Training,0,0,0,0,0,0
1212,Cook,Cook,0,0,0,0,0,0
1213,Judge,Judge,0,0,0,0,0,0
1214,Emcee's Hype,Emcee's Hype,0,0,0,0,0,0
1215,Ethan's Adventure,Ethan's Adventure,0,0,0,0,0,0
1216,Team Rocket's Ariana,Team Rocket's Ariana,0,0,0,0,0,0
1217,Team Rocket's Archer,Team Rocket's Archer,0,0,0,0,0,0
1218,Team Rocket's Giovanni,Team Rocket's Giovanni,0,0,0,0,0,0
1219,Team Rocket's Petrel,Team Rocket's Petrel,0,0,0,0,0,0
1220,Team Rocket's Proton,Team Rocket's Proton,0,0,0,0,0,0
1221,N's Plan,N's Plan,0,0,0,0,0,0
1222,Fennel,Fennel,0,0,0,0,0,0
1223,Harlequin,Harlequin,0,0,0,0,0,0
1224,Cheren,Cheren,0,0,0,0,0,0
1225,Hilda,Hilda,0,0,0,0,0,0
1226,Lt. Surge's Bargain,Lt. Surge's Bargain,0,0,0,0,0,0
1227,Lillie's Determination,Lillie's Determination,0,0,0,0,0,0
1228,Acerola's Mischief,Acerola's Mischief,0,0,0,0,0,0
1229,Wally's Compassion,Wally's Compassion,0,0,0,0,0,0
1230,Grimsley's Move,Grimsley's Move,0,0,0,0,0,0
1231,Dawn,Dawn,0,0,0,0,0,0
1232,Firebreather,Firebreather,0,0,0,0,0,0
1233,Canari,Canari,0,0,0,0,0,0
1234,Anthea & Concordia,Anthea & Concordia,0,0,0,0,0,0
1235,Waitress,Waitress,0,0,0,0,0,0
1236,Urbain,Urbain,0,0,0,0,0,0
1237,Lucian,Lucian,0,0,0,0,0,0
1238,Tarragon,Tarragon,0,0,0,0,0,0
1239,Naveen,Naveen,0,0,0,0,0,0
1240,Rosa's Encouragement,Rosa's Encouragement,0,0,0,0,0,0
1241,Jacinthe,Jacinthe,0,0,0,0,0,0
1242,Community Center,Community Center,0,0,0,0,0,0
1243,Perilous Jungle,Perilous Jungle,0,0,0,0,0,0
1244,Full Metal Lab,Full Metal Lab,0,0,0,0,0,0
1245,Festival Grounds,Festival Grounds,0,0,0,0,0,0
1246,Jamming Tower,Jamming Tower,0,0,0,0,0,0
1247,Neutralization Zone,Neutralization Zone,0,0,0,0,0,0
1248,Academy at Night,Academy at Night,0,0,0,0,0,0
1249,Grand Tree,Grand Tree,0,0,0,0,0,0
1250,Area Zero Underdepths,Area Zero Underdepths,0,0,0,0,0,0
1251,Lively Stadium,Lively Stadium,0,0,0,0,0,0
1252,Gravity Mountain,Gravity Mountain,0,0,0,0,0,0
1253,N’s Castle,N’s Castle,0,0,0,0,0,0
1254,Levincia,Levincia,0,0,0,0,0,0
1255,Postwick,Postwick,0,0,0,0,0,0
1256,Team Rocket's Watchtower,Team Rocket's Watchtower,0,0,0,0,0,0
1257,Team Rocket's Factory,Team Rocket's Factory,0,0,0,0,0,0
1258,Granite Cave,Granite Cave,0,0,0,0,0,0
1259,Spikemuth Gym,Spikemuth Gym,0,0,0,0,0,0
1260,Risky Ruins,Risky Ruins,0,0,0,0,0,0
1261,Forest of Vitality,Forest of Vitality,0,0,0,0,0,0
1262,Surfing Beach,Surfing Beach,0,0,0,0,0,0
1263,Mystery Garden,Mystery Garden,0,0,0,0,0,0
1264,Battle Cage,Battle Cage,0,0,0,0,0,0
1265,Dizzying Valley,Dizzying Valley,0,0,0,0,0,0
1266,Nighttime Mine,Nighttime Mine,0,0,0,0,0,0
1267,Lumiose City,Lumiose City,0,0,0,0,0,0
