card_id,card_name,ability_name,ability_text
44,Bloodmoon Ursaluna ex,Seasoned Skill,Blood Moon used by this Pokémon costs {C} less for each Prize card your opponent has taken.
49,Feraligatr,Torrential Heart,"Once during your turn, you may put 5 damage counters on this Pokémon. If you do, during this turn, attacks used by this Pokémon do 120 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
56,Flutter Mane,Midnight Fluttering,"As long as this Pokémon is in the Active Spot, your opponent’s Active Pokémon has no Abilities, except for Midnight Fluttering."
57,Relicanth,Memory Dive,Each of your evolved Pokémon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.)
66,Dudunsparce,Run Away Draw,"Once during your turn, you may draw 3 cards. If you drew any cards in this way, shuffle this Pokémon and all attached cards into your deck."
72,Sawsbuck, Changing Seasons,"Once during your turn, you may search your deck for a Stadium card, reveal it, and put it into your hand. Then, shuffle your deck."
74,Rabsca,Spherical Shield,Prevent all damage from and effects of attacks from your opponent’s Pokémon done to your Benched Pokémon.
75,Iron Leaves ex,Rapid Vernier,"When you play this Pokémon from your hand onto your Bench during your turn, you may switch it with your Active Pokémon. If you do, you may move any amount of Energy from your other Pokémon to this Pokémon."
79,Incineroar ex,Hustle Play,Attacks used by this Pokémon cost {C} less for each of your opponent’s Benched Pokémon.
80,Iron Crown ex,Cobalt Command,"Attacks used by your Future Pokémon, except any Iron Crown {ex}, do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
81,Drilbur,Dig Dig Dig,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for up to 3 Basic {F} Energy cards and discard them. Then, shuffle your deck."
83,Farigiraf ex,Armor Tail,Prevent all damage done to this Pokémon by attacks from your opponent’s Basic Pokémon {ex}.
86,Metang,Metal Maker,"Once during your turn, you may look at the top 4 cards of your deck and attach any number of Basic {M} Energy cards you find there to your Pokémon in any way you like. Shuffle the other cards and put them on the bottom of your deck."
90,Thwackey,Boom Boom Groove,"Once during your turn, if your Active Pokémon has the Festival Lead Ability, you may search your deck for a card and put it into your hand. Then, shuffle your deck."
93,Dipplin,Festival Lead,"If Festival Grounds is in play, this Pokémon may use an attack it has twice. If the first attack Knocks Out your opponent’s Active Pokémon, you may attack again after your opponent chooses a new Active Pokémon."
96,Teal Mask Ogerpon ex,Teal Dance,"Once during your turn, you may attach a Basic {G} Energy card from your hand to this Pokémon. If you attached Energy to a Pokémon in this way, draw a card."
98,Chandelure, Alluring Light,"Once during your turn, you may have each player draw a card."
100,Goldeen,Festival Lead,"If Festival Grounds is in play, this Pokémon may use an attack it has twice. If the first attack Knocks Out your opponent’s Active Pokémon, you may attack again after your opponent chooses a new Active Pokémon."
102,Milotic,Mentally Calm,Your opponent’s Pokémon in play and all attached cards can’t be put into your opponent’s hand.
104,Froslass,Freezing Shroud,"During Pokémon Checkup, put 1 damage counter on each Pokémon that has an Ability (both yours and your opponent’s), except any Froslass."
106,Palafin,Zero to Hero,"Once during your turn, when this Pokémon moves from the Active Spot to the Bench, you may search your deck for a Palafin {ex} and switch it with this Pokémon. Any attached cards, damage counters, Special Conditions, turns in play, and any other effects remain on the new Pokémon. If you switched a Pokémon in this way, put this card into your deck. Then, shuffle your deck."
107,Palafin ex,Hero’s Spirit,Put this Pokémon into play only with the effect of Palafin’s Zero to Hero Ability.
109,Abra,Teleporter,"Once during your turn, if this Pokémon is in the Active Spot, you may shuffle it and all attached cards into your deck."
112,Munkidori,Adrena-Brain,"Once during your turn, if this Pokémon has any {D} Energy attached, you may move up to 3 damage counters from 1 of your Pokémon to 1 of your opponent’s Pokémon."
116,Okidogi,Adrena-Power,"If this Pokémon has any {D} Energy attached, it gets +100 HP, and the attacks it uses do 100 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
117,Cornerstone Mask Ogerpon ex,Cornerstone Stance,Prevent all damage from attacks done to this Pokémon by your opponent’s Pokémon that have an Ability.
118,Heatran, Incandescent Body,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Burned."
120,Drakloak,Recon Directive,"Once during your turn, you may look at the top 2 cards of your deck and put 1 of them into your hand. Put the other card on the bottom of your deck."
122,Tatsugiri,Attract Customers,"Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 6 cards of your deck, reveal a Supporter card you find there, and put it into your hand. Shuffle the other cards back into your deck."
123,Farfetch'd, Impromptu Carrier,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for a Pokémon Tool card and attach it to this Pokémon. Then, shuffle your deck."
125,Blissey ex,Happy Switch,"Once during your turn, you may move a Basic Energy from 1 of your Pokémon to another of your Pokémon."
126,Galvantula,Compound Eyes,Attacks used by this Pokémon do 50 more damage to your opponent’s Active Pokémon that has an Ability (before applying Weakness and Resistance).
132,Dusclops,Cursed Blast,"Once during your turn, you may put 5 damage counters on 1 of your opponent’s Pokémon. If you use this Ability, this Pokémon is Knocked Out."
133,Dusknoir,Cursed Blast,"Once during your turn, you may put 13 damage counters on 1 of your opponent’s Pokémon. If you use this Ability, this Pokémon is Knocked Out."
135,Bloodmoon Ursaluna,Battle-Hardened,"When you play this Pokémon from your hand onto your Bench during your turn, you may attach up to 2 Basic {F} Energy cards from your hand to this Pokémon."
139,Munkidori ex,Oh No You Don’t,"If this Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon, and if you have any Pecharunt {ex} in play, your opponent takes 1 fewer Prize card."
140,Fezandipiti ex,Flip the Script,"Once during your turn, if any of your Pokémon were Knocked Out during your opponent’s last turn, you may draw 3 cards. You can’t use more than 1 Flip the Script Ability each turn."
141,Pecharunt ex,Subjugating Chains,"Once during your turn, you may switch 1 of your Benched {D} Pokémon, except any Pecharunt {ex}, with your Active Pokémon. If you do, the new Active Pokémon is now Poisoned. You can’t use more than 1 Subjugating Chains Ability each turn."
142,Genesect,ACE Nullifier,"If this Pokémon has a Pokémon Tool attached, your opponent can’t play any {ACE SPEC} cards from their hand."
144,Kyurem,Plasma Bane,"If your opponent has any cards in their discard pile that have ""Colress"" in the name, this Pokémon can use the Trifrost attack for {C}."
147,Cradily,Selective Slime,"Once during your turn, you may flip a coin. If heads, choose Burned, Confused, or Poisoned. Your opponent’s Active Pokémon is now affected by that Special Condition."
150,Hydrapple ex,Ripening Charge,"Once during your turn, you may attach a Basic {G} Energy card from your hand to 1 of your Pokémon. If you attached Energy to a Pokémon in this way, heal 30 damage from that Pokémon."
155,Carracosta, Primal Knowledge,Attacks used by your Pokémon do 30 more damage to your opponent’s Active Evolution Pokémon (before applying Weakness and Resistance).
156,Crabominable,Food Prep,Attacks used by this Pokémon cost {C} less for each Kofu card in your discard pile.
158,Drednaw,Impervious Shell,Prevent all damage done to this Pokémon by attacks from your opponent’s Pokémon if that damage is 200 or more.
159,Veluza,Food Prep,Attacks used by this Pokémon cost {C} less for each Kofu card in your discard pile.
167,Klinklang,Emergency Rotation,"Once during your turn, if this Pokémon is in your hand and your opponent has any Stage 2 Pokémon in play, you may put this Pokémon onto your Bench."
170,Archaludon,Metal Bridge,All of your Pokémon that have {M} Energy attached have no Retreat Cost.
173,Noctowl,Jewel Seeker,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, if you have any Tera Pokémon in play, you may search your deck for up to 2 Trainer cards, reveal them, and put them into your hand. Then, shuffle your deck."
174,Fan Rotom,Fan Call,"Once during your first turn, you may search your deck for up to 3 {C} Pokémon with 100 HP or less, reveal them, and put them into your hand. Then, shuffle your deck. You can’t use more than 1 Fan Call Ability during your turn."
175,Bouffalant,Curly Wall,"As long as you have at least 1 other Bouffalant in play, all of your Basic {C} Pokémon take 60 less damage from attacks from your opponent’s Pokémon (after applying Weakness and Resistance). The effect of Curly Wall doesn’t stack."
180,Bruxish, Counterattack,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon."
182,Quaquaval,Up-Tempo,"You must put a card from your hand on the bottom of your deck in order to use this Ability. Once during your turn, you may draw cards until you have 5 cards in your hand."
184,Latias ex,Skyliner,Your Basic Pokémon in play have no Retreat Cost.
190,Archaludon ex,Assemble Alloy,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may attach up to 2 Basic {M} Energy cards from your discard pile to your {M} Pokémon in any way you like."
198,Durant ex,Sudden Shearing,"When you play this Pokémon from your hand onto your Bench during your turn, you may discard the top card of your opponent’s deck."
202,Victini,Victory Cheer,Attacks used by your Evolution {R} Pokémon do 10 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
203,Skeledirge,Unaware,Prevent all effects of attacks used by your opponent’s Pokémon done to this Pokémon. (Damage is not an effect.)
205,Scovillain ex,Double Type,"As long as this Pokémon is in play, it is {G} and {R} type."
207,Milotic ex,Sparkling Scales,Prevent all damage from and effects of attacks from your opponent’s Tera Pokémon done to this Pokémon.
209,Chien-Pao,Snow Sink,"When you play this Pokémon from your hand onto your Bench during your turn, you may discard a Stadium in play."
210,Pikachu ex,Resolute Heart,"If this Pokémon has full HP and would be Knocked Out by damage from an attack, it is not Knocked Out, and its remaining HP becomes 10."
211,Magneton,Overvolt Discharge,"Once during your turn, you may attach up to 3 Basic Energy cards from your discard pile to your {L} Pokémon in any way you like. If you use this Ability, this Pokémon is Knocked Out."
214,Togekiss,Wonder Kiss,"When your opponent’s Active Pokémon is Knocked Out, flip a coin. If heads, take 1 more Prize card. The effect of Wonder Kiss doesn’t stack."
221,Meowstic,Beckoning Tail,"You must discard a Chill Teaser Toy card from your hand in order to use this Ability. Once during your turn, you may switch in 1 of your opponent’s Benched Pokémon to the Active Spot."
225,Gastrodon,Sticky Bind,"As long as this Pokémon is on your Bench, Benched Stage 2 Pokémon (both yours and your opponent’s) have no Abilities."
230,Pecharunt,Toxic Subjugation,"As long as this Pokémon is in the Active Spot, put 5 more damage counters on your opponent’s Poisoned Pokémon during Pokémon Checkup."
232,Slaking ex,Born to Slack,"If your opponent has no Pokémon {ex} or Pokémon {V} in play, this Pokémon can’t attack."
238,Whimsicott, Wafting Heal,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal all damage from your Active {G} Pokémon. If you healed any damage in this way, discard all Energy from that Pokémon."
240,Seaking,Festival Lead,"If Festival Grounds is in play, this Pokémon may use an attack it has twice. If the first attack Knocks Out your opponent’s Active Pokémon, you may attack again after your opponent chooses a new Active Pokémon."
247,Swirlix, Festival Lead,"If Festival Grounds is in play, this Pokémon may use an attack it has twice in succession. If the first attack Knocks Out your opponent’s Active Pokémon, you may use an attack again after your opponent chooses a new Active Pokémon."
249,Eevee ex,Rainbow DNA,This Pokémon can evolve into any Pokémon {ex} that evolves from Eevee if you play it from your hand onto this Pokémon. (This Pokémon can’t evolve during your first turn or the turn you play it.)
250,Hoothoot,Insomnia,This Pokémon can’t be Asleep.
255,Maractus,Exploding Needles,"If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent’s Pokémon, put 6 damage counters on the Attacking Pokémon."
256,Magmortar,Magma Surge,"During Pokémon Checkup, put 3 more damage counters on your opponent’s Burned Pokémon."
259,Volcanion ex,Scalding Steam,"Once during your turn, if this Pokémon is in the Active Spot, you may make your opponent’s Active Pokémon Burned."
262,Ludicolo,Vibrant Dance,All of your Pokémon in play get +40 HP. The effect of Vibrant Dance doesn’t stack.
269,Iono’s Bellibolt ex,Electric Streamer,"As often as you like during your turn, you may attach a Basic {L} Energy card from your hand to 1 of your Iono’s Pokémon."
271,Iono’s Kilowattrel,Flashing Draw,"You must discard a Basic {L} Energy from this Pokémon in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand."
272,Lillie’s Clefairy ex,Fairy Zone,The Weakness of each of your opponent’s {N} Pokémon in play is now {P}. (Apply Weakness as ×2.)
279,Lillie’s Ribombee,Inviting Wink,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may have your opponent reveal their hand and you put any number of Basic Pokémon you find there onto their Bench."
283,Mamoswine ex,Mammoth Hauler,"Once during your turn, you may search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
287,Lycanroc,Spike-Clad,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may attach up to 2 Spiky Energy cards from your discard pile to this Pokémon."
290,Tyranitar,Daunting Gaze,"As long as this Pokémon is in the Active Spot, your opponent can’t play any Item cards from their hand."
293,N’s Zoroark ex,Trade,"You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards."
297,Magearna,Auto Heal,"As long as this Pokémon is in the Active Spot, whenever you attach an Energy card from your hand to 1 of your Pokémon, heal 90 damage from that Pokémon."
304,Hop’s Snorlax,Extra Helpings,Attacks used by your Hop’s Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance). The effect of Extra Helpings doesn’t stack.
310,Hop’s Dubwool,Defiant Horn,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch in 1 of your opponent’s Benched Pokémon to the Active Spot."
315,Azumarill,Glistening Bubbles,"If you have any Tera Pokémon in play, this Pokémon can use the Double-Edge attack for {P}."
317,Eevee,Boosted Evolution,"As long as this Pokémon is in the Active Spot, it can evolve during your first turn or the turn you play it."
322,Lilligant,Sunny Day,Attacks used by your {G} Pokémon and {R} Pokémon do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
326,Blaziken ex,Seething Spirit,"Once during your turn, you may attach a Basic Energy card from your discard pile to 1 of your Pokémon."
330,Sylveon, Safeguard,Prevent all damage done to this Pokémon by attacks from your opponent’s Pokémon {ex}.
340,Yanmega ex, Buzzing Boost,"Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may search your deck for up to 3 Basic {G} Energy cards and attach them to this Pokémon. Then, shuffle your deck."
342,Cynthia's Roserade, Cheer On to Glory,Attacks used by your Cynthia’s Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
343,Shaymin, Flower Curtain,"Prevent all damage done to your Benched Pokémon that don’t have a Rule Box by attacks from your opponent’s Pokémon. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
345,Crustle, Mysterious Rock Inn,Prevent all damage done to this Pokémon by attacks from your opponent’s Pokémon {ex}.
351,Rapidash, Hurried Gait,"Once during your turn, you may draw a card."
353,Ethan's Quilava, Bonded by the Journey,"Once during your turn, you may search your deck for an Ethan’s Adventure card, reveal it, and put it into your hand. Then, shuffle your deck."
356,Ethan's Magcargo, Melt Away,"If this Pokémon has no Energy attached, it has no Retreat Cost."
357,Ethan's Ho-Oh ex, Golden Flame,"Once during your turn, you may attach up to 2 Basic {R} Energy cards from your hand to 1 of your Benched Ethan’s Pokémon."
359,Misty's Psyduck, Flustered Leap,"Once during your turn, if this Pokémon is on your Bench, you may discard the bottom card of your deck. If you do, discard all cards from this Pokémon and put this Pokémon on top of your deck."
362,Misty's Magikarp, So Submerged,"As long as this Pokémon is on your Bench, prevent all damage from and effects of attacks from your opponent’s Pokémon done to this Pokémon."
380,Cynthia's Gabite, Champion’s Call,"Once during your turn, you may search your deck for a Cynthia’s Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
383,Mudsdale, Mud Coat,This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).
392,Arven's Greedent, Greedy Order,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put up to 2 Arven’s Sandwich cards from your discard pile into your hand."
401,Team Rocket's Spidops, Charging Up,"Once during your turn, you may attach a Basic Energy card from your discard pile to this Pokémon."
414,Team Rocket's Articuno, Repelling Veil,Prevent all effects of attacks used by your opponent’s Pokémon done to your Basic Team Rocket’s Pokémon. (Existing effects are not removed. Damage is not an effect.)
416,Huntail, Diver’s Catch,"When 1 of your {W} Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon, you may put all Basic {W} Energy attached to that Pokémon into your hand instead of the discard pile."
424,Cetitan ex, Snow Camouflage,"Whenever your opponent plays an Item or Supporter card from their hand, prevent all effects of that card done to this Pokémon."
428,Team Rocket's Ampharos, Darkest Impulse,"Whenever your opponent plays a Pokémon from their hand to evolve 1 of their Pokémon, put 4 damage counters on that Pokémon. The effect of Darkest Impulse doesn’t stack."
431,Team Rocket's Mewtwo ex, Power Saver,This Pokémon can’t attack unless you have 4 or more Team Rocket’s Pokémon in play.
436,Team Rocket's Orbeetle, Rocket Brain,"As often as you like during your turn, you may move 1 damage counter from 1 of your Team Rocket’s Pokémon to another of your Pokémon."
439,Annihilape, Lose Cool,"If this Pokémon has 2 or more damage counters on it, attacks used by this Pokémon do 120 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
442,Team Rocket's Tyranitar, Sand Stream,"During Pokémon Checkup, if this Pokémon is in the Active Spot, put 2 damage counters on each of your opponent’s Basic Pokémon."
449,Team Rocket's Arbok, Potent Glare,"As long as this Pokémon is in the Active Spot, your opponent can’t play any Pokémon that has an Ability from their hand, except for Team Rocket’s Pokémon."
457,Team Rocket's Golbat, Sneaky Bite,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put 2 damage counters on 1 of your opponent’s Pokémon."
458,Team Rocket's Crobat ex, Biting Spree,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may choose 2 of your opponent’s Pokémon and put 2 damage counters on each of them."
461,Team Rocket's Koffing, Smog Signals,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), search your deck for up to 2 Pokémon that have “Koffing” in their name and put them onto your Bench. Then, shuffle your deck."
475,Team Rocket's Porygon-Z, Reconstitute,"You must discard 2 cards from your hand in order to use this Ability. Once during your turn, you may draw a card."
481,Serperior ex, Regal Cheer,Attacks used by your Pokémon do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
487,Karrablast, Stimulated Evolution,"If you have Shelmet in play, this Pokémon can evolve during your first turn or the turn you play it."
497,Volcarona, Torrid Scales,"You must discard a Basic {R} Energy card from your hand in order to use this Ability. Once during your turn, you may make your opponent’s Active Pokémon Burned."
504,Carracosta, Mighty Shell,Prevent all damage from and effects of attacks done to this Pokémon by your opponent’s Pokémon that have any Special Energy attached.
505,Alomomola, Gentle Fin,"Once during your turn, if this Pokémon is in the Active Spot, you may put a Basic Pokémon with 70 HP or less from your discard pile onto your Bench."
512,Eelektrik, Dynamotor,"Once during your turn, you may attach a Basic {L} Energy card from your discard pile to 1 of your Benched Pokémon."
525,Meloetta ex, Debut Performance,"If you go first, this Pokémon can use attacks during your first turn."
530,Conkeldurr, Craftsmanship,This Pokémon gets +40 HP for each {F} Energy attached to it.
533,Crustle, Sturdy,"If this Pokémon has full HP and would be Knocked Out by damage from an attack, it is not Knocked Out, and its remaining HP becomes 10."
537,Scolipede, Poison Point,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Poisoned."
542,Mandibuzz, Look for Prey,"Once during your turn, you may use this Ability. Your opponent reveals their hand, and you put a Basic Pokémon with 70 HP or less that you find there onto your opponent’s Bench."
547,Genesect ex, Metallic Signal,"Once during your turn, you may search your deck for up to 2 Evolution {M} Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
558,Swadloon, Healing Leaves,"Once during your turn, you may heal 20 damage from your Active Pokémon."
564,Shelmet, Stimulated Evolution,"If you have Karrablast in play, this Pokémon can evolve during your first turn or the turn you play it."
569,Emboar, Inferno Fandango,"As often as you like during your turn, you may attach a Basic {R} Energy card from your hand to 1 of your Pokémon."
576,Samurott, Torrential Whirlpool,"Once during your turn, you may switch your Active Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)"
596,Gothitelle, Distorted Future,"Once during your turn, if this Pokémon is in the Active Spot, you may have your opponent shuffle their hand into their deck and draw 3 cards."
598,Jellicent ex, Oceanic Curse,"As long as this Pokémon is in the Active Spot, your opponent can’t play any Item cards or Pokémon Tool cards from their hand."
604,Archeops, Ancient Wing,"Once during your turn, if this Pokémon is in the Active Spot, you may devolve 1 of your opponent’s evolved Pokémon by putting the highest Stage Evolution card on it into your opponent’s hand."
618,Hydreigon ex, Greedy Eater,"If your opponent’s Basic Pokémon is Knocked Out by damage from an attack used by this Pokémon, take 1 more Prize card."
623,Klinklang, Gear Coating,All of your Pokémon that have any {M} Energy attached take 20 less damage from attacks from your opponent’s Pokémon (after applying Weakness and Resistance).
631,Bouffalant ex, Bouffer,This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).
637,Steven's Carbink, Stone Palace,"As long as this Pokémon is on your Bench, all of your Steven’s Pokémon take 30 less damage from attacks from your opponent’s Pokémon (after applying Weakness and Resistance). The effect of Stone Palace doesn’t stack."
641,Steven's Metagross ex, X-Boot,"Once during your turn, you may search your deck for a Basic {P} Energy card, a Basic {M} Energy card, or 1 of each and attach them to your {P} Pokémon and {M} Pokémon in any way you like. Then, shuffle your deck."
648,Marnie's Grimmsnarl ex, Punk Up,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may search your deck for up to 5 Basic {D} Energy cards and attach them to your Marnie’s Pokémon in any way you like. Then, shuffle your deck."
652,Mega Venusaur ex, Solar Transfer,"As often as you like during your turn, you may use this Ability. Move a Basic {G} Energy from 1 of your Pokémon to another of your Pokémon."
666,Cinderace, Explosiveness,"If this Pokémon is in your hand when you are setting up to play, you may put it face down in the Active Spot."
674,Hariyama, Heave-Ho Catcher,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Switch in 1 of your opponent’s Benched Pokémon to the Active Spot."
675,Lunatone, Lunar Cycle,"Once during your turn, if you have Solrock in play, you may discard a Basic {F} Energy card from your hand in order to use this Ability. Draw 3 cards. You can’t use more than 1 Lunar Cycle Ability each turn."
685,Garganacl, Powerful a-Salt,Attacks used by your {F} Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
688,Spiritomb, Spiteful Swirl,"If your Active {D} Pokémon is damaged by an attack from your opponent’s Pokémon (even if your Active {D} Pokémon is Knocked Out), place 1 damage counter on the Attacking Pokémon."
698,Tinkatuff, Haphazard Hammer,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
705,Gumshoos, Evidence Gathering,"Once during your turn, you may use this Ability. Switch a card from your hand with the top card of your deck."
710,Meganium, Wild Growth,Each Basic {G} Energy attached to all of your Pokémon provides {G}{G} Energy. The effect of Wild Growth doesn’t stack.
711,Shuckle, Fermented Juice,"Once during your turn, if this Pokémon has any {G} Energy attached, you may use this Ability. Heal 30 damage from 1 of your Pokémon."
713,Ninjask, Cast-Off Shell,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Search your deck for a Shedinja and put it onto your Bench. Then, shuffle your deck."
716,Pyroar, Intimidating Fang,"As long as this Pokémon is in the Active Spot, attacks used by your opponent’s Active Pokémon do 30 less damage (before applying Weakness and Resistance)."
725,Clawitzer, Fall Back to Reload,"Once during your turn, when this Pokémon moves from the Active Spot to your Bench, you may use this Ability. Attach up to 2 Basic {W} Energy cards from your hand to this Pokémon."
742,Kadabra, Psychic Draw,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Draw 2 cards."
743,Alakazam, Psychic Draw,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Draw 3 cards."
748,Shedinja, Fragile Husk,"If this Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon {ex}, your opponent can’t take any Prize cards for it."
750,Grumpig, Energized Steps,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Look at the top 4 cards of your deck and attach any number of Basic Energy cards you find there to your Pokémon in any way you like. Shuffle the other cards back into your deck."
755,Latios, Lustrous Assist,"Once during your turn, when your Mega Latias {ex} moves from your Bench to the Active Spot, you may use this Ability. Move any amount of Energy from your Benched Pokémon to your Active Pokémon."
756,Mega Kangaskhan ex, Run Errand,"Once during your turn, if this Pokémon is in the Active Spot, you may use this Ability. Draw 2 cards. You can’t use more than 1 Run Errand Ability each turn."
766,Mega Diancie ex, Diamond Coat,This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).
772,Mega Gengar ex, Shadowy Concealment,"If 1 of your {D} Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon {ex}, that player takes 1 fewer Prize card. The effect of Shadowy Concealment doesn’t stack."
784,Ludicolo, Excited Heal,"Once during your turn, if you have any {G} Mega Evolution Pokémon {ex} in play, you may use this Ability. Heal 60 damage from 1 of your Pokémon."
